8732-T,東証1部,マネパG,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,251,253,249,250,42300,10601700
2014-06-26,251,255,250,253,28300,7140600
2014-06-25,258,258,253,253,37800,9624700
2014-06-24,260,260,255,257,37800,9737400
2014-06-23,268,268,260,262,68600,17944700
2014-06-20,267,267,262,264,51600,13607400
2014-06-19,263,268,263,267,87100,23166200
2014-06-18,261,266,261,263,20500,5386400
2014-06-17,266,268,260,265,49300,13050300
2014-06-16,267,267,260,265,59000,15565700
2014-06-13,260,265,257,265,121800,31834300
2014-06-12,253,257,249,257,53600,13611300
2014-06-11,250,256,250,253,47900,12139400
2014-06-10,249,252,248,251,43100,10783500
2014-06-09,246,252,245,250,59900,14873200
2014-06-06,244,248,243,246,16400,4032700
2014-06-05,249,249,244,246,21300,5230900
2014-06-04,249,250,247,250,22800,5666800
2014-06-03,251,251,247,248,25700,6402500
2014-06-02,252,252,249,251,30800,7720600
2014-05-30,249,252,248,251,55200,13796500
2014-05-29,246,249,246,248,25400,6271900
2014-05-28,247,248,243,246,18800,4633700
2014-05-27,246,248,244,247,44700,11037700
2014-05-26,242,247,241,245,64200,15687100
2014-05-23,241,245,241,245,82500,20057900
2014-05-22,233,239,231,239,72200,17041800
2014-05-21,222,233,222,233,70300,16116000
2014-05-20,224,226,223,224,32900,7371500
2014-05-19,226,229,223,223,42200,9540900
2014-05-16,230,231,225,228,53300,12204000
2014-05-15,234,234,230,232,26800,6233200
2014-05-14,231,234,230,234,13900,3228800
2014-05-13,227,231,225,230,38800,8841000
2014-05-12,244,244,227,227,112900,26086100
2014-05-09,234,244,234,242,49000,11808900
2014-05-08,232,238,232,236,33800,7955600
2014-05-07,238,239,230,230,49800,11697600
2014-05-02,234,238,234,238,70000,16573100
2014-05-01,237,237,234,236,46600,10986600
2014-04-30,232,234,230,233,47800,11091200
2014-04-28,225,232,225,230,62300,14255600
2014-04-25,232,233,225,227,90300,20649500
2014-04-24,233,236,229,230,53700,12422300
2014-04-23,233,236,233,236,16900,3959800
2014-04-22,237,237,234,234,13800,3235900
2014-04-21,234,239,234,236,65100,15337900
2014-04-18,236,238,236,238,15300,3625400
2014-04-17,241,242,235,236,38700,9194700
