8806-T,東証1部,ダイビル,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1041,1041,1005,1024,229400,233879100
2014-06-26,1070,1074,1046,1050,62200,65754800
2014-06-25,1046,1064,1046,1059,98300,104029100
2014-06-24,1039,1060,1031,1054,143500,150629000
2014-06-23,1049,1054,1032,1046,235200,245629600
2014-06-20,1018,1044,1006,1040,256700,264709500
2014-06-19,1005,1023,995,1022,250900,253148600
2014-06-18,1014,1014,1000,1009,163500,164514700
2014-06-17,1010,1012,1001,1009,102100,102824200
2014-06-16,1016,1016,994,997,90000,90236400
2014-06-13,992,1021,990,1017,192800,193073500
2014-06-12,1001,1005,990,998,173000,172589400
2014-06-11,995,1020,993,1018,128400,129745300
2014-06-10,1026,1029,1001,1002,243300,246200300
2014-06-09,1055,1056,1025,1027,125100,129666700
2014-06-06,1062,1064,1041,1054,107100,112705200
2014-06-05,1055,1056,1045,1056,84300,88638500
2014-06-04,1055,1059,1047,1052,61700,64987000
2014-06-03,1070,1085,1051,1055,81700,86590300
2014-06-02,1022,1062,1012,1059,203300,212211400
2014-05-30,1015,1027,1005,1013,80200,81291100
2014-05-29,1005,1014,1001,1009,47700,48088800
2014-05-28,1023,1030,1011,1015,112500,114555500
2014-05-27,1027,1040,1020,1026,73400,75573300
2014-05-26,1024,1033,1012,1033,125000,127993100
2014-05-23,982,1017,982,1011,137900,138903400
2014-05-22,963,994,937,968,196900,190478100
2014-05-21,962,968,948,951,89300,85302200
2014-05-20,971,986,966,970,120300,117351000
2014-05-19,1000,1008,971,973,110300,108702400
2014-05-16,1005,1012,996,1008,106100,106640500
2014-05-15,1019,1036,1002,1034,77600,79490800
2014-05-14,1021,1035,1008,1034,50500,51845500
2014-05-13,1005,1033,1003,1020,97500,99533400
2014-05-12,1012,1024,992,993,96200,96420100
2014-05-09,1002,1028,998,1017,79300,80646400
2014-05-08,1022,1025,1005,1008,166100,168501700
2014-05-07,1049,1054,1011,1011,123100,125504100
2014-05-02,1045,1067,1035,1061,98300,103540300
2014-05-01,1008,1072,1008,1055,219700,231320200
2014-04-30,1016,1044,1010,1018,101100,103721400
2014-04-28,1005,1016,994,1007,106100,106311600
2014-04-25,1017,1033,1010,1013,95200,97034700
2014-04-24,1017,1032,1014,1022,83900,85848200
2014-04-23,1018,1025,1006,1013,62400,63372200
2014-04-22,1016,1030,1002,1002,83700,84966600
2014-04-21,1027,1041,1007,1009,59100,60319000
2014-04-18,1024,1028,1017,1027,37200,38050300
2014-04-17,1025,1028,1009,1016,88400,89973500
2014-04-16,1005,1042,998,1025,98700,101055000
2014-04-15,1000,1010,988,990,89800,89465300
2014-04-14,997,1015,989,995,100300,100592600
2014-04-11,1007,1021,990,1001,91800,92227700
2014-04-10,1030,1052,1016,1024,129400,133935400
2014-04-09,1049,1066,1019,1020,155900,160695600
2014-04-08,1080,1091,1061,1062,122000,131137700
2014-04-07,1110,1119,1088,1091,153800,168653700
2014-04-04,1096,1142,1096,1135,345800,390786700
