8928-T,東証1部,穴吹興産,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,335,336,333,336,101000,33800000
2014-06-26,337,337,332,335,223000,74899000
2014-06-25,342,343,338,339,608000,207528000
2014-06-24,344,345,343,343,147000,50523000
2014-06-23,343,345,343,345,87000,29910000
2014-06-20,344,346,342,343,103000,35501000
2014-06-19,344,345,343,344,63000,21659000
2014-06-18,342,344,341,342,45000,15415000
2014-06-17,343,345,338,341,95000,32439000
2014-06-16,346,347,344,344,65000,22453000
2014-06-13,340,346,337,345,131000,44627000
2014-06-12,338,341,337,339,34000,11506000
2014-06-11,338,343,338,339,59000,20128000
2014-06-10,344,345,336,338,78000,26622000
2014-06-09,345,345,342,343,87000,29928000
2014-06-06,340,342,339,340,113000,38428000
2014-06-05,338,339,338,338,22000,7443000
2014-06-04,337,338,336,338,28000,9430000
2014-06-03,343,343,336,338,40000,13636000
2014-06-02,334,340,334,340,48000,16163000
2014-05-30,337,337,333,334,34000,11373000
2014-05-29,336,338,333,335,35000,11737000
2014-05-28,339,339,333,337,62000,20789000
2014-05-27,329,338,329,338,76000,25441000
2014-05-26,329,330,327,329,15000,4930000
2014-05-23,326,328,322,327,39000,12703000
2014-05-22,322,324,318,321,39000,12543000
2014-05-21,318,318,313,315,31000,9774000
2014-05-20,320,321,318,319,28000,8948000
2014-05-19,325,325,321,321,25000,8063000
2014-05-16,329,329,322,322,74000,23966000
2014-05-15,326,331,326,329,79000,25852000
2014-05-14,350,350,330,334,105000,35581000
2014-05-13,341,351,341,347,97000,33614000
2014-05-12,346,349,341,341,51000,17642000
2014-05-09,348,350,345,349,101000,35177000
2014-05-08,335,350,333,346,170000,58469000
2014-05-07,331,334,329,332,105000,34819000
2014-05-02,327,330,327,329,40000,13124000
2014-05-01,323,327,322,327,46000,14909000
2014-04-30,316,322,316,318,70000,22323000
2014-04-28,320,323,313,313,112000,35492000
2014-04-25,323,324,320,324,59000,19013000
2014-04-24,323,323,319,322,31000,9953000
2014-04-23,323,323,318,323,29000,9314000
2014-04-22,322,323,319,319,35000,11251000
2014-04-21,319,320,318,319,25000,7990000
2014-04-18,321,325,320,324,44000,14216000
2014-04-17,320,326,319,321,41000,13175000
2014-04-16,315,324,315,320,47000,14997000
2014-04-15,310,315,310,313,29000,9098000
2014-04-14,307,314,307,308,49000,15253000
2014-04-11,305,309,304,307,76000,23267000
2014-04-10,315,315,311,313,44000,13785000
2014-04-09,322,323,310,311,116000,36490000
2014-04-08,327,330,325,326,86000,28152000
2014-04-07,332,332,328,330,22000,7265000
2014-04-04,333,334,329,332,50000,16585000
2014-04-03,333,333,325,330,52000,17142000
2014-04-02,334,337,328,333,99000,33078000
2014-04-01,326,333,323,331,242000,79223000
2014-03-31,320,328,320,326,68000,22032000
2014-03-28,311,320,308,320,90000,28429000
2014-03-27,308,308,301,304,117000,35496000
2014-03-26,305,308,301,304,108000,32856000
2014-03-25,304,304,296,301,80000,24011000
2014-03-24,301,306,298,299,82000,24709000
2014-03-20,302,302,296,296,57000,17018000
