8956-T,東証,プレミア投,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,400000,403500,399500,400500,1085,435422000
2014-06-26,401500,402500,400000,401000,954,382631500
2014-06-25,401500,403000,401000,403000,857,344298000
2014-06-24,401500,403500,401000,401500,645,259293500
2014-06-23,404500,405000,401000,403000,1315,530311000
2014-06-20,398500,404000,397500,404000,1479,594456000
2014-06-19,396000,399000,396000,398000,716,284738500
2014-06-18,393500,397000,392000,396000,762,300399500
2014-06-17,392500,393000,391000,392500,292,114480000
2014-06-16,391000,393500,391000,391000,337,132105000
2014-06-13,388000,391500,387500,390000,633,246466500
2014-06-12,389000,391000,387500,388000,403,156630000
2014-06-11,390000,390500,388000,389000,681,264931500
2014-06-10,390000,391000,388500,390500,556,216586500
2014-06-09,389500,392000,389500,390000,396,154597000
2014-06-06,392000,394500,388000,391000,798,311383500
2014-06-05,396500,396500,391000,393500,628,246930500
2014-06-04,400500,400500,394000,394000,621,246369500
2014-06-03,398000,403000,396000,401000,1153,462181000
2014-06-02,396000,397500,393000,395500,527,208237500
2014-05-30,394500,399000,394000,397000,695,275465500
2014-05-29,393000,394500,393000,393000,217,85446500
2014-05-28,391500,395000,391500,393000,423,166593000
2014-05-27,390000,393000,389000,392500,434,169760500
2014-05-26,392000,392000,387500,389500,499,194610500
2014-05-23,390000,392500,389000,390500,323,126267000
2014-05-22,388000,391500,387000,390000,496,193332000
2014-05-21,386000,388000,385500,388000,362,139920500
2014-05-20,388500,388500,386000,387000,552,213498000
2014-05-19,388000,389000,386500,387500,211,81815000
2014-05-16,388000,388500,386000,388500,805,311918000
2014-05-15,389000,390000,386000,387500,630,244368000
2014-05-14,385500,390000,385500,387000,693,268811500
2014-05-13,388000,388000,385000,385000,607,234692500
2014-05-12,387000,388500,385500,387000,291,112569000
2014-05-09,387500,389500,385500,388000,544,210625500
2014-05-08,389500,390500,384500,385000,783,302984000
2014-05-07,393000,395000,387500,389500,802,313158000
2014-05-02,394500,395500,393500,393500,379,149479000
2014-05-01,393000,395500,392500,394500,472,185790000
2014-04-30,393000,397000,390000,394500,695,273006500
2014-04-28,391000,392500,390000,392000,672,262724000
2014-04-25,390000,393500,389500,393000,976,381969000
2014-04-24,402500,403500,399500,403500,869,349423500
2014-04-23,402000,403000,399000,403000,831,333174500
2014-04-22,400000,404000,397500,402500,1041,416890500
2014-04-21,404500,404500,399000,399000,662,265199500
2014-04-18,400000,404500,398500,401000,1119,448995500
2014-04-17,396000,399000,395500,398000,554,220384500
2014-04-16,393500,398000,393000,396500,429,169855500
2014-04-15,398000,398500,393500,393500,580,229602500
2014-04-14,393500,398000,392500,397500,637,251664500
2014-04-11,393000,397000,393000,394500,843,332820500
2014-04-10,399500,402000,396000,396000,572,228228000
2014-04-09,401000,401000,393500,393500,858,340272000
2014-04-08,401000,402500,397500,402500,729,291623500
2014-04-07,400500,406000,400500,405000,425,171648500
2014-04-04,405000,405000,399500,399500,633,254314000
2014-04-03,408000,408500,406000,406000,830,337796500
2014-04-02,403500,409000,403500,408500,876,356830500
2014-04-01,401000,408000,400000,405000,1052,424717500
2014-03-31,399000,403000,395500,400500,833,332531500
2014-03-28,396500,402000,396500,398500,780,311329500
2014-03-27,396500,405000,393000,403500,1583,632953500
2014-03-26,391500,395000,388000,393000,702,275165000
2014-03-25,389500,393000,386500,391000,896,350428000
2014-03-24,386000,391000,386000,389500,616,238956500
2014-03-20,386000,388500,384000,385500,703,271599500
2014-03-19,387500,389500,386500,386500,487,188825000
2014-03-18,384000,389000,383000,387000,400,154393000
2014-03-17,384500,385000,381500,382500,354,135626500
2014-03-14,384000,384500,380500,382500,845,323378000
2014-03-13,392000,392000,385000,386000,1331,515760500
2014-03-12,398500,400000,393000,393000,684,271747500
2014-03-11,397500,399500,395000,399500,517,205606500
2014-03-10,398500,400000,394000,399500,512,203742500
2014-03-07,398500,398500,396000,398500,305,121312000
2014-03-06,396500,399000,395000,398500,679,269842500
2014-03-05,394500,396500,394000,396000,494,195234000
2014-03-04,391500,393500,390000,393000,280,109630000
2014-03-03,394000,394500,390000,392500,394,154619000
2014-02-28,396500,397000,391500,394500,350,137929000
2014-02-27,395000,398000,394500,398000,621,246136000
2014-02-26,393000,395000,392000,395000,726,285760500
2014-02-25,389000,394000,388500,393500,506,197507500
2014-02-24,390000,391500,387000,389000,587,228380500
2014-02-21,387000,392000,384000,391500,843,326717500
2014-02-20,386500,389500,385000,389000,667,258337000
2014-02-19,389500,391000,387000,390500,462,180031500
2014-02-18,386000,389500,386000,386500,495,191918000
2014-02-17,386000,388000,385000,385500,380,146869500
2014-02-14,385500,388000,381500,384500,572,219863000
2014-02-13,388000,388000,385500,386000,512,197979500
2014-02-12,387500,391000,386500,388000,643,250093500
2014-02-10,386000,390000,382500,387500,707,272817500
2014-02-07,385500,387000,380000,385000,725,278300500
2014-02-06,379000,382000,377500,381000,735,279044000
2014-02-05,381000,384000,379000,379000,1195,455102500
2014-02-04,382500,383000,379000,382000,1186,452013500
2014-02-03,397000,397000,388000,388000,1093,428288000
2014-01-31,393500,398000,393000,398000,916,362360500
2014-01-30,392000,394500,390000,393500,748,293761500
2014-01-29,391500,398500,391500,398500,770,304663500
2014-01-28,390000,391000,386500,391000,680,264386000
2014-01-27,387500,390000,383000,390000,1158,448228500
2014-01-24,395500,396500,391000,393500,930,365541000
2014-01-23,399500,400500,397000,398500,575,229084000
2014-01-22,404000,404000,398500,400500,666,266735000
2014-01-21,403000,403000,399500,400500,790,316505500
2014-01-20,407000,407000,401000,403500,1018,409798500
2014-01-17,405000,408500,402000,406000,1309,529317500
2014-01-16,398500,404000,397000,403500,755,302046500
2014-01-15,399500,399500,396500,399000,315,125504500
2014-01-14,397000,397000,393500,395000,376,148805500
2014-01-10,395000,400000,392500,399500,464,183955500
2014-01-09,394000,394500,390500,392500,506,198277500
2014-01-08,398500,398500,394500,394500,666,263849500
2014-01-07,402500,402500,397500,398500,638,254343500
2014-01-06,408500,408500,399000,403500,713,287970000
2013-12-30,400000,409500,399500,407000,1565,632971000
2013-12-27,393000,398500,391500,396000,543,214416500
2013-12-26,385500,395000,385500,393000,719,281037000
2013-12-25,384000,385500,382500,383000,978,375360000
2013-12-24,386000,386000,384000,384000,1017,391625000
2013-12-20,382000,385000,382000,385000,1117,428662500
2013-12-19,387000,387000,382000,382000,1209,464415500
2013-12-18,385000,387000,384000,385000,456,175657000
2013-12-17,387500,388500,385000,385000,713,275773500
2013-12-16,385500,387000,383500,387000,552,212651000
2013-12-13,383500,386500,382000,385500,939,360659000
2013-12-12,387000,387500,383000,383500,944,363175000
2013-12-11,388000,388500,386000,386000,525,203313000
2013-12-10,390000,391000,387500,387500,523,203210000
2013-12-09,390000,390500,388000,389000,500,194662500
2013-12-06,389000,391000,387000,389000,742,288316500
2013-12-05,395000,395000,389000,389000,829,324247000
2013-12-04,397000,398000,393500,395500,594,234968000
2013-12-03,402000,402000,397000,397500,682,272403500
2013-12-02,400000,402000,397500,402000,813,325016500
2013-11-29,398000,399000,396000,399000,1217,484536000
2013-11-28,395500,397000,394500,395000,428,169381500
2013-11-27,393500,399000,392500,399000,787,312254000
2013-11-26,393000,394000,391500,393500,840,329938000
2013-11-25,394000,394500,391500,391500,561,220482000
2013-11-22,392000,395000,392000,393000,727,285928000
2013-11-21,395500,396000,390500,391000,1110,436673500
2013-11-20,393000,395500,392500,395000,515,203014000
2013-11-19,400000,400500,392000,393500,976,385518500
2013-11-18,402500,407000,400500,401500,1780,718034000
2013-11-15,392500,401500,392500,401500,2969,1182920500
2013-11-14,393000,395500,391500,391500,2030,798261500
2013-11-13,395000,395000,391000,391000,1033,405717500
2013-11-12,400000,400000,394000,394500,1523,603203000
2013-11-11,396500,402500,394500,400000,2189,872630500
2013-11-08,391000,396000,391000,394000,3491,1375703500
2013-11-07,394000,395500,389000,395500,2712,1067677000
2013-11-06,395500,396500,392500,394000,799,314694000
2013-11-05,402500,402500,395000,397500,1172,466308500
2013-11-01,402500,404000,401500,402500,921,370652500
2013-10-31,404000,405000,401000,402000,1408,567646500
2013-10-30,402000,404500,399000,403000,1210,486472500
2013-10-29,403000,406500,400000,400000,1682,675680500
2013-10-28,418000,419000,415500,417000,1026,428026500
2013-10-25,419500,419500,416500,417500,633,264469000
2013-10-24,419500,420000,418000,418500,356,149112500
2013-10-23,419000,421000,416000,420000,978,409310500
2013-10-22,420000,421500,418000,419000,1045,438305500
2013-10-21,416500,423500,415000,421000,1361,571587000
2013-10-18,427000,427000,423000,423500,551,233806000
2013-10-17,422000,426000,422000,423000,400,169433500
2013-10-16,421000,423000,419500,420000,314,132189000
2013-10-15,423000,425000,419000,421500,464,195759500
2013-10-11,424000,427500,420000,423000,816,345564500
2013-10-10,425000,425000,415000,420500,646,270618000
2013-10-09,409500,424500,408000,420000,945,394651500
2013-10-08,412500,415500,407000,413000,903,371229500
2013-10-07,423500,423500,415000,416000,492,205956500
2013-10-04,416500,424500,412000,421500,732,306222000
2013-10-03,426500,428000,418500,422500,640,271186500
2013-10-02,435500,436000,416000,416500,895,378602000
2013-10-01,443500,445000,435500,436000,1271,557491500
2013-09-30,436500,448500,436500,448000,1259,559807000
2013-09-27,430500,445000,430500,441000,1097,482305000
2013-09-26,428500,432500,418500,430500,1012,432503000
2013-09-25,412500,427000,412000,424000,1485,621002000
2013-09-24,417500,417500,401000,412500,1606,661409500
2013-09-20,435000,435000,414000,414000,1428,601717000
2013-09-19,427500,435000,422000,435000,1044,448908500
2013-09-18,425000,426000,421000,425000,566,240143000
2013-09-17,418500,426000,418000,426000,591,249644000
2013-09-13,410000,418000,410000,418000,513,212268500
2013-09-12,415000,416000,405500,415000,849,348912000
2013-09-11,415000,417000,412500,417000,628,260230000
2013-09-10,399500,412000,398500,409000,997,403374000
2013-09-09,392500,400000,390500,399500,835,328954000
2013-09-06,380500,381000,377500,378000,119,45134000
2013-09-05,382500,385000,378000,380500,521,199008500
2013-09-04,373500,383000,373500,378000,456,172649000
2013-09-03,379500,382500,377500,379500,402,152812500
2013-09-02,373500,378000,371500,371500,399,149631000
2013-08-30,369000,372500,361000,370000,701,257396000
2013-08-29,360500,371500,360500,365500,648,236899000
2013-08-28,365000,366000,361000,363500,361,131160500
2013-08-27,369000,369000,361000,363000,638,232148500
2013-08-26,370000,372000,369000,369000,289,107028500
2013-08-23,374000,374000,368500,369500,298,110885000
2013-08-22,373500,373500,368000,368500,375,138853500
2013-08-21,378000,379000,372000,376000,539,202556500
2013-08-20,381000,383000,378000,378500,546,207399500
2013-08-19,380500,381000,378500,379000,433,164371500
2013-08-16,385500,385500,380000,380500,601,229323000
2013-08-15,385000,390500,385000,387000,690,267638000
2013-08-14,388500,390500,384500,388000,381,147528000
2013-08-13,384500,388000,383000,388000,329,126896500
2013-08-12,383000,389500,380000,388500,589,225904000
2013-08-09,384500,391000,383500,386500,646,249224500
2013-08-08,388000,389000,384000,384500,448,173200500
2013-08-07,395000,395000,385000,387500,673,261161500
2013-08-06,392000,395000,392000,393000,404,159005000
2013-08-05,387000,392000,386000,392000,342,132963500
2013-08-02,389000,391500,386500,386500,386,150256500
2013-08-01,383500,395000,378500,387500,801,307634000
2013-07-31,380500,385000,376500,378500,427,162008500
2013-07-30,386000,386000,381000,381500,537,205552000
2013-07-29,386500,387500,385000,385000,332,128134500
2013-07-26,390500,392500,386500,389000,454,176706500
2013-07-25,393500,394500,390500,390500,505,198359500
2013-07-24,396500,397000,393500,393500,301,118914500
2013-07-23,396000,399000,394500,396500,213,84683000
2013-07-22,396000,398500,394000,395500,197,78145000
2013-07-19,398500,399500,392000,393500,360,142107500
2013-07-18,397000,397500,395000,397500,203,80470500
2013-07-17,397000,397000,392000,394000,269,106060000
2013-07-16,403000,403000,397000,397500,372,148890500
2013-07-12,387500,403000,387500,402500,985,390783000
2013-07-11,380500,391500,380000,387000,485,186700500
2013-07-10,385000,386000,380000,380000,489,187308000
2013-07-09,385500,386500,382500,383000,479,184268000
2013-07-08,385500,388000,381000,381000,450,172516500
2013-07-05,390500,392000,383000,383500,558,215318500
2013-07-04,385000,391000,385000,387000,337,130770500
2013-07-03,386000,386000,383000,385500,378,145471000
2013-07-02,383000,386000,376500,386000,710,271728500
2013-07-01,388000,388500,374500,376000,1073,406748000
2013-06-28,376000,385500,375000,381000,1479,564667500
2013-06-27,364500,378000,362000,374000,963,355585000
2013-06-26,360000,364000,355000,361500,499,179394500
2013-06-25,359000,363500,351500,358500,871,310197000
2013-06-24,362500,369500,361000,361500,705,256608500
2013-06-21,349500,371000,348000,366000,1113,401651000
