8958-T,東証,グロバルRE,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,298600,301000,296100,298900,925,275784400
2014-06-26,297000,298500,296200,297100,604,179464800
2014-06-25,296900,296900,295600,296800,310,91832700
2014-06-24,296900,296900,295400,296000,412,122035900
2014-06-23,296900,297900,295100,295400,993,294492600
2014-06-20,295600,297500,295100,296900,1061,314670400
2014-06-19,294700,295700,294500,295400,523,154443600
2014-06-18,294900,295500,294300,294300,1014,298878800
2014-06-17,293600,294900,293500,294800,755,222010400
2014-06-16,294000,294600,293500,293500,994,292238600
2014-06-13,294300,295000,293200,294100,1461,429653200
2014-06-12,294800,295500,294200,294200,833,245515400
2014-06-11,294700,294800,294100,294800,1180,347407600
2014-06-10,295500,295800,294100,295100,1377,406299900
2014-06-09,296200,296600,294400,295200,1299,383664600
2014-06-06,294500,296300,293700,295600,877,258665500
2014-06-05,294600,297100,294000,294500,2386,704852200
2014-06-04,294000,295800,293300,295400,2485,731613800
2014-06-03,294900,297100,293200,294200,3481,1025558900
2014-06-02,306000,306500,292100,293400,5880,1740872400
2014-05-30,312000,316500,308000,308000,1548,481888000
2014-05-29,314000,315000,309000,312000,959,298132500
2014-05-28,314500,318000,314000,314000,1295,409585500
2014-05-27,314000,316500,314000,315000,713,224672000
2014-05-26,314000,315500,312000,315500,809,253579500
2014-05-23,312000,317000,311500,314000,580,182526000
2014-05-22,312500,313000,311000,312000,399,124409000
2014-05-21,309000,313500,309000,313500,702,218364500
2014-05-20,311000,312500,309000,309000,572,177530500
2014-05-19,315500,317000,310500,313000,558,175508000
2014-05-16,319500,319500,316000,317500,872,276977000
2014-05-15,317500,318500,315000,318000,1439,455062000
2014-05-14,311500,318000,311000,316500,1015,320196000
2014-05-13,310000,314500,309500,312500,457,142465000
2014-05-12,310000,311500,307500,309000,657,202980000
2014-05-09,312000,312000,309500,311000,560,173791000
2014-05-08,313000,313500,309500,311000,685,213204000
2014-05-07,315000,316000,313000,314000,507,159349000
2014-05-02,316500,319000,315000,316000,1466,463993500
2014-05-01,317500,320000,314000,317000,1053,333089000
2014-04-30,317000,321000,316000,319500,708,225808500
2014-04-28,313000,316500,313000,316000,494,155524500
2014-04-25,312500,314500,311500,314500,626,196362500
2014-04-24,312500,313500,310500,313000,408,127316000
2014-04-23,312000,313000,310000,313000,269,83835500
2014-04-22,313000,313000,309000,312000,518,160887500
2014-04-21,312500,313000,310500,310500,332,103505000
2014-04-18,314000,315000,311000,313000,713,223017000
2014-04-17,315000,317000,314500,314500,980,309035000
2014-04-16,317000,317000,313000,314500,1033,325345500
2014-04-15,317000,318000,312500,312500,778,245014000
2014-04-14,309000,316000,309000,313000,642,200949000
2014-04-11,308000,312000,307000,308500,637,196593500
2014-04-10,315000,318000,311500,312500,1116,350814500
2014-04-09,312000,313500,306500,312500,2158,669707000
2014-04-08,315500,318000,310000,312500,1507,470788500
2014-04-07,319000,323500,315500,318500,1189,380600500
2014-04-04,320000,323000,316000,318500,1001,321110500
