8967-T,東証,日本ロジ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,239600,241600,238800,239300,2718,651885000
2014-06-26,241900,242600,239500,240100,2196,528598500
2014-06-25,239200,241300,237100,241300,1322,316743300
2014-06-24,240500,241100,237100,238000,2376,567990000
2014-06-23,242200,244000,239900,240000,1808,436220200
2014-06-20,238000,242500,236800,242500,2156,517975800
2014-06-19,237000,238600,236600,237500,2567,609601600
2014-06-18,237500,239500,236500,238400,1185,282218100
2014-06-17,237700,239900,235800,236200,1359,322271100
2014-06-16,238000,240200,237500,237600,1478,353664100
2014-06-13,236000,238500,234600,237300,1664,394664700
2014-06-12,232100,237000,232100,236000,1557,366183200
2014-06-11,232200,234100,231300,234100,1517,352949700
2014-06-10,233800,234300,231500,232100,1668,387752700
2014-06-09,235100,235100,232600,233800,1366,319457800
2014-06-06,234500,235200,232000,232400,1119,260878700
2014-06-05,233300,234900,230100,233100,2457,571071600
2014-06-04,233500,235400,230500,232600,2454,572035400
2014-06-03,230100,235500,230100,233500,2929,684895000
2014-06-02,228800,232300,228500,231000,2723,628601100
2014-05-30,227900,230900,227200,227300,3175,725923600
2014-05-29,230100,231100,226100,226800,2855,649770800
2014-05-28,229900,233500,229900,231000,3595,834951000
2014-05-27,226600,229800,226400,228700,2143,489895400
2014-05-26,229000,229000,226200,226300,1189,270491100
2014-05-23,228500,228600,227100,227600,1511,344554100
2014-05-22,227100,228800,226500,228100,1877,427614500
2014-05-21,227700,228100,225300,227300,2056,466526900
2014-05-20,223700,226400,222600,225600,1841,414385400
2014-05-19,224700,226500,222800,223500,2578,580078900
2014-05-16,224000,225000,222000,224700,3000,670900400
2014-05-15,224200,224800,222500,223000,2512,561067600
2014-05-14,225000,226400,224700,224900,2068,466406400
2014-05-13,222500,226300,221700,224700,4939,1104781400
2014-05-12,222900,223000,220300,222200,5079,1126205700
2014-05-09,222000,223000,221500,222000,4541,1007840800
2014-05-08,222500,223400,221800,222400,3186,708432100
2014-05-07,223500,224900,222700,222700,3703,827031700
2014-05-02,226000,227800,224100,224700,6182,1393354400
2014-05-01,229000,230300,227500,228300,4335,990842500
2014-04-30,231200,233300,229600,230400,4681,1078945300
2014-04-28,231100,233300,230400,233300,1484,344348200
2014-04-25,230100,233700,230100,232500,1225,284910600
2014-04-24,232400,233600,231000,232600,1781,413735900
2014-04-23,232700,233800,230500,233400,4769,1108801300
2014-04-22,232000,233000,229000,232300,2094,484584600
2014-04-21,233100,233100,227500,228500,1237,283485300
2014-04-18,228000,231100,225800,228900,3108,712725900
2014-04-17,223000,226900,222700,224900,2906,654920500
2014-04-16,221600,225200,221600,221800,3694,823500200
2014-04-15,230000,230200,224400,224700,2112,476376300
2014-04-14,227500,229800,226000,226900,3265,742845800
2014-04-11,230100,232400,226400,226400,5231,1197827100
2014-04-10,233200,240000,232100,232700,4960,1164868000
2014-04-09,235700,238100,232000,232300,3433,804319900
2014-04-08,240600,244000,239100,240700,2460,590567600
2014-04-07,242100,244800,240300,244200,2155,522692800
2014-04-04,243800,244600,239700,240700,3068,742021100
2014-04-03,241500,244900,240600,243800,4258,1036297400
2014-04-02,236200,241600,235500,241300,7597,1819810700
2014-04-01,232100,234900,230500,233900,4347,1011581200
2014-03-31,236000,237000,231500,232000,3240,754066900
2014-03-28,239600,239600,230100,231300,3573,833257200
2014-03-27,235000,241500,234200,239700,4037,964614000
2014-03-26,234700,238300,232900,234100,4359,1028125000
2014-03-25,229700,234800,228800,230400,3776,872975600
2014-03-24,223700,229700,221500,228600,2831,641920500
2014-03-20,219200,224500,219200,221400,2122,472275900
2014-03-19,221700,223300,220100,221400,1167,258638700
2014-03-18,222000,222000,217900,220000,1982,436142200
2014-03-17,219500,220000,218600,219000,1218,267046300
2014-03-14,222900,223300,219000,220000,1850,409824000
2014-03-13,221100,223200,220500,221900,1885,417638200
2014-03-12,222900,223700,220200,220900,1517,336960500
2014-03-11,222600,224400,222500,223400,1491,332882600
2014-03-10,223000,224000,220500,224000,2720,604601400
2014-03-07,223100,224400,220200,224300,2206,492461900
2014-03-06,223500,225700,214500,224400,1850,413213200
2014-03-05,221600,226400,221600,225000,1672,375755200
2014-03-04,224500,226400,222000,224000,2141,479446600
2014-03-03,226500,227600,224300,225400,1789,404385900
2014-02-28,225000,227700,224300,227600,1948,440075200
2014-02-27,225400,228000,225000,227700,1450,329055900
2014-02-26,224500,227900,222100,225400,1988,447329100
2014-02-25,221600,224900,219700,223900,1805,401810800
2014-02-24,220000,222300,218000,220100,2120,466516400
2014-02-21,221500,222900,218100,219200,2552,560112100
2014-02-20,216900,222000,216900,221800,2479,544641100
2014-02-19,222000,222000,219200,219700,1896,417930200
2014-02-18,219900,223600,218500,220600,1329,292648900
2014-02-17,217800,220500,216500,219600,1740,381646800
2014-02-14,219200,220700,215700,215700,1929,419437100
2014-02-13,219900,224800,217300,218100,1802,395740700
2014-02-12,221300,226000,221300,224900,3244,729385300
2014-02-10,220700,221100,217000,220400,1472,323011600
2014-02-07,215000,220900,215000,220700,1779,387872800
2014-02-06,214900,216000,214500,215000,2340,503042900
2014-02-05,218400,218900,215200,216800,2904,630224600
2014-02-04,212300,221800,212100,218200,2852,622904900
2014-02-03,227900,227900,220100,220900,2679,600088300
2014-01-31,228000,229600,225100,227300,2084,473534500
2014-01-30,226000,227800,225000,227800,1641,372604800
2014-01-29,225000,229800,223400,229000,2952,672439400
2014-01-28,1118000,1134000,1114000,1129000,781,877787000
2014-01-27,1126000,1129000,1103000,1117000,738,821833000
2014-01-24,1144000,1150000,1125000,1135000,980,1112061000
2014-01-23,1146000,1147000,1134000,1139000,734,837335000
2014-01-22,1131000,1143000,1131000,1142000,744,846031000
2014-01-21,1130000,1140000,1123000,1131000,1198,1356330000
2014-01-20,1127000,1128000,1114000,1126000,815,914723000
2014-01-17,1120000,1139000,1111000,1124000,1153,1295647000
