9008-T,東証1部,京王,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,798,798,782,787,1103000,869816000
2014-06-26,799,800,797,797,881000,703291000
2014-06-25,795,798,792,795,645000,513178000
2014-06-24,795,800,790,799,832000,663004000
2014-06-23,795,797,792,795,861000,684342000
2014-06-20,789,796,789,793,1067000,846257000
2014-06-19,775,794,775,793,1218000,958687000
2014-06-18,767,780,766,778,1153000,893742000
2014-06-17,758,769,757,766,1197000,915136000
2014-06-16,767,767,755,759,813000,618041000
2014-06-13,756,769,750,767,2376000,1801153000
2014-06-12,767,767,759,766,872000,665796000
2014-06-11,762,770,762,769,821000,629282000
2014-06-10,762,770,761,763,754000,576930000
2014-06-09,760,764,757,761,831000,632390000
2014-06-06,759,762,755,757,1194000,906370000
2014-06-05,758,759,754,756,928000,702433000
2014-06-04,751,759,750,759,1486000,1122311000
2014-06-03,750,755,748,751,1173000,881760000
2014-06-02,740,754,740,748,1250000,935198000
2014-05-30,744,750,736,737,2371000,1756833000
2014-05-29,750,751,743,747,1001000,748248000
2014-05-28,750,759,749,752,1433000,1080293000
2014-05-27,745,754,743,751,1217000,914076000
2014-05-26,740,745,735,744,864000,639122000
2014-05-23,736,740,734,739,1051000,775993000
2014-05-22,735,739,728,736,1309000,962023000
2014-05-21,719,734,719,733,1567000,1144258000
2014-05-20,725,729,721,728,959000,696639000
2014-05-19,718,724,717,722,1023000,738020000
2014-05-16,711,717,710,715,1040000,741497000
2014-05-15,722,726,713,725,758000,545781000
2014-05-14,720,726,718,726,802000,580233000
2014-05-13,718,724,718,722,1090000,787019000
2014-05-12,713,717,708,710,773000,550067000
2014-05-09,700,718,699,713,1159000,823271000
2014-05-08,699,708,699,703,730000,513925000
2014-05-07,709,712,696,696,1844000,1290677000
2014-05-02,720,720,712,715,870000,621590000
2014-05-01,718,725,711,724,1075000,774089000
2014-04-30,721,724,715,723,1280000,923215000
2014-04-28,713,715,705,712,687000,488199000
2014-04-25,715,724,714,721,873000,628697000
2014-04-24,716,718,710,714,558000,398606000
2014-04-23,710,720,710,719,751000,538655000
2014-04-22,716,717,710,710,634000,452766000
2014-04-21,713,717,710,713,637000,454777000
2014-04-18,718,718,708,713,622000,442404000
2014-04-17,710,719,710,717,915000,654881000
2014-04-16,698,714,698,714,1063000,754669000
2014-04-15,700,700,691,696,973000,676274000
2014-04-14,697,702,692,692,1077000,749509000
2014-04-11,698,709,698,698,2601000,1822527000
2014-04-10,712,715,705,710,1346000,955913000
2014-04-09,712,714,704,709,1938000,1375020000
2014-04-08,711,719,706,715,1354000,965998000
2014-04-07,707,717,703,713,946000,674084000
2014-04-04,716,718,712,714,987000,704934000
2014-04-03,715,723,711,719,1447000,1041266000
2014-04-02,714,724,711,715,1493000,1074272000
2014-04-01,719,719,710,714,1216000,868977000
2014-03-31,720,723,714,719,1267000,910914000
2014-03-28,713,719,710,719,1182000,846325000
2014-03-27,698,717,691,714,2491000,1753360000
2014-03-26,722,723,698,709,3928000,2786803000
2014-03-25,711,734,711,715,2769000,1998780000
2014-03-24,681,708,680,704,2090000,1460022000
2014-03-20,689,689,673,674,1530000,1034392000
2014-03-19,681,689,673,684,1320000,899696000
2014-03-18,682,686,677,681,1023000,697355000
2014-03-17,679,682,670,674,1179000,795358000
2014-03-14,683,686,677,678,3794000,2585529000
2014-03-13,702,704,695,699,1322000,923773000
2014-03-12,710,714,701,701,1630000,1149608000
2014-03-11,719,725,714,724,923000,665829000
2014-03-10,719,720,709,715,894000,638068000
2014-03-07,721,724,715,720,1551000,1115298000
2014-03-06,711,720,706,720,1071000,765323000
2014-03-05,719,721,709,711,1282000,913641000
2014-03-04,708,715,702,710,958000,680802000
2014-03-03,712,713,696,711,1751000,1233365000
2014-02-28,716,720,710,719,1584000,1132526000
2014-02-27,720,724,715,717,1224000,879973000
2014-02-26,713,724,712,719,1046000,753400000
2014-02-25,720,727,716,725,1211000,876346000
2014-02-24,716,722,707,713,1410000,1004836000
2014-02-21,702,726,700,725,2533000,1813400000
2014-02-20,698,703,694,698,1930000,1348193000
