9042-T,東証1部,阪急阪神,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,572,577,566,572,1681000,960373000
2014-06-26,574,577,572,572,1231000,706381000
2014-06-25,572,574,570,572,1097000,627209000
2014-06-24,572,574,568,572,1450000,829054000
2014-06-23,571,572,568,571,1261000,719263000
2014-06-20,567,573,565,571,2611000,1489276000
2014-06-19,558,570,557,569,2507000,1417976000
2014-06-18,553,560,553,559,1459000,813580000
2014-06-17,552,557,551,555,2287000,1266444000
2014-06-16,554,557,551,553,1762000,974800000
2014-06-13,552,560,552,559,2631000,1456926000
2014-06-12,558,560,554,558,1757000,978681000
2014-06-11,561,566,560,563,1888000,1060454000
2014-06-10,563,566,561,563,1575000,887737000
2014-06-09,563,564,557,559,1474000,825946000
2014-06-06,568,570,563,565,2400000,1357166000
2014-06-05,571,572,567,569,1438000,819043000
2014-06-04,570,572,567,572,1261000,719022000
2014-06-03,571,571,566,568,1348000,766094000
2014-06-02,567,572,565,566,1761000,1000797000
2014-05-30,564,568,561,565,2219000,1253113000
2014-05-29,561,568,560,567,1344000,758037000
2014-05-28,562,567,561,564,1428000,806799000
2014-05-27,559,566,559,562,1720000,969833000
2014-05-26,559,561,556,561,1353000,756387000
2014-05-23,553,559,552,555,1263000,702200000
2014-05-22,549,553,545,552,1572000,864774000
2014-05-21,540,547,540,546,927000,504362000
2014-05-20,546,550,543,547,1291000,706831000
2014-05-19,543,548,541,542,1350000,734148000
2014-05-16,550,553,540,544,2785000,1517443000
2014-05-15,554,557,549,555,1304000,720399000
2014-05-14,559,561,557,561,1310000,733111000
2014-05-13,558,563,556,560,1380000,772198000
2014-05-12,551,554,548,548,1460000,803411000
2014-05-09,543,556,543,552,1428000,788118000
2014-05-08,544,550,543,547,1790000,980000000
2014-05-07,559,559,545,547,2957000,1621515000
2014-05-02,562,564,558,560,1115000,624642000
2014-05-01,560,566,557,566,1638000,922902000
2014-04-30,558,560,555,560,1898000,1059248000
2014-04-28,550,555,549,555,1083000,598317000
2014-04-25,555,560,551,557,1419000,789709000
2014-04-24,556,556,551,553,1275000,705991000
2014-04-23,550,555,548,555,1236000,682846000
2014-04-22,552,553,547,547,967000,531740000
2014-04-21,553,556,548,549,1485000,817968000
2014-04-18,555,555,545,551,1628000,893144000
2014-04-17,552,556,549,553,1767000,976768000
2014-04-16,542,553,542,551,1743000,956699000
2014-04-15,539,541,533,535,1354000,725677000
2014-04-14,535,543,535,536,1570000,845874000
2014-04-11,537,544,535,537,2397000,1292276000
2014-04-10,547,554,544,545,1494000,818691000
2014-04-09,549,550,543,546,2895000,1580661000
2014-04-08,555,558,550,554,2439000,1351401000
2014-04-07,556,566,555,558,2595000,1452188000
2014-04-04,562,567,561,561,1440000,811356000
2014-04-03,560,566,558,562,2263000,1275040000
2014-04-02,560,565,557,558,2593000,1455427000
2014-04-01,564,564,553,558,2458000,1370840000
2014-03-31,561,564,556,562,3179000,1781082000
2014-03-28,553,560,550,557,3861000,2144312000
2014-03-27,537,556,533,553,4499000,2451709000
2014-03-26,559,562,545,548,6719000,3703563000
2014-03-25,544,561,544,553,4344000,2408334000
2014-03-24,528,547,526,539,3323000,1789805000
2014-03-20,528,530,522,522,2520000,1321277000
2014-03-19,531,535,524,528,1589000,841518000
2014-03-18,530,535,528,530,1813000,963464000
2014-03-17,527,528,520,522,1605000,839550000
2014-03-14,537,541,528,529,5140000,2742767000
2014-03-13,545,552,545,547,1607000,880121000
2014-03-12,552,555,547,548,2054000,1130197000
2014-03-11,556,562,555,557,1722000,961355000
2014-03-10,558,560,554,556,1468000,815823000
2014-03-07,560,564,557,560,2080000,1165362000
2014-03-06,549,558,549,558,1571000,870970000
2014-03-05,557,559,549,550,1576000,871495000
2014-03-04,547,555,544,552,2050000,1129424000
2014-03-03,551,555,541,555,2717000,1490237000
2014-02-28,553,559,543,558,3316000,1832118000
2014-02-27,556,557,551,553,1576000,872458000
2014-02-26,552,563,551,560,1893000,1057859000
2014-02-25,555,560,551,560,2411000,1344051000
2014-02-24,554,556,540,548,2060000,1127083000
2014-02-21,541,555,541,555,2799000,1537861000
2014-02-20,538,541,534,535,1765000,948596000
2014-02-19,537,541,531,541,2144000,1152650000
2014-02-18,524,538,523,537,1887000,1004344000
2014-02-17,515,525,512,525,1401000,729148000
2014-02-14,524,530,514,518,1483000,770800000
2014-02-13,536,536,523,526,1306000,689675000
2014-02-12,527,536,526,534,2472000,1317050000
2014-02-10,524,524,515,522,1400000,727464000
2014-02-07,517,520,510,517,1755000,901894000
2014-02-06,511,514,506,509,1815000,924909000
2014-02-05,500,515,499,514,3659000,1854781000
2014-02-04,512,514,496,497,3426000,1720968000
2014-02-03,521,524,516,516,1598000,830385000
2014-01-31,528,529,518,522,2910000,1521487000
2014-01-30,530,530,522,524,2511000,1320125000
2014-01-29,531,539,531,538,1394000,747773000
2014-01-28,536,538,527,527,2815000,1493587000
2014-01-27,536,538,530,532,2708000,1447780000
2014-01-24,549,551,541,543,3049000,1664422000
2014-01-23,561,561,553,553,1996000,1109322000
2014-01-22,557,561,554,560,1324000,739750000
2014-01-21,557,560,556,556,1736000,968527000
2014-01-20,559,559,554,557,1225000,681774000
2014-01-17,560,564,556,562,1810000,1015638000
2014-01-16,560,566,557,562,1725000,970203000
2014-01-15,554,560,551,559,1971000,1097826000
2014-01-14,549,551,544,546,2365000,1293724000
