9132-T,東証1部,第一船,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,94,94,93,93,592000,55220000
2014-06-26,95,96,93,93,587000,55368000
2014-06-25,96,97,95,95,482000,46186000
2014-06-24,96,97,96,97,384000,36920000
2014-06-23,97,98,96,96,439000,42579000
2014-06-20,98,98,96,97,510000,49619000
2014-06-19,96,98,96,98,421000,40818000
2014-06-18,96,97,95,97,471000,45171000
2014-06-17,96,97,96,96,514000,49384000
2014-06-16,98,100,96,97,2330000,228819000
2014-06-13,91,94,91,94,1385000,128861000
2014-06-12,91,94,91,92,669000,61962000
2014-06-11,92,93,91,92,177000,16268000
2014-06-10,92,93,91,91,446000,40982000
2014-06-09,94,94,92,92,391000,36379000
2014-06-06,94,95,92,92,704000,65884000
2014-06-05,92,96,92,93,1537000,144483000
2014-06-04,91,93,90,93,410000,37514000
2014-06-03,92,92,91,91,391000,35734000
2014-06-02,91,92,91,92,541000,49524000
2014-05-30,90,91,89,90,364000,32800000
2014-05-29,89,91,89,91,266000,23875000
2014-05-28,90,92,90,90,400000,36352000
2014-05-27,89,91,89,91,733000,65898000
2014-05-26,88,90,87,90,1054000,93103000
2014-05-23,87,88,86,86,1327000,115428000
2014-05-22,88,88,86,86,1384000,120228000
2014-05-21,87,88,86,87,1209000,105288000
2014-05-20,90,91,88,88,575000,51475000
2014-05-19,90,92,89,89,494000,44567000
2014-05-16,91,91,90,90,372000,33661000
2014-05-15,93,94,91,91,201000,18598000
2014-05-14,93,93,92,92,324000,30109000
2014-05-13,94,95,92,95,462000,43319000
2014-05-12,91,93,91,92,227000,20809000
2014-05-09,92,93,91,93,393000,36250000
2014-05-08,93,93,92,92,290000,26926000
2014-05-07,95,95,93,93,273000,25564000
2014-05-02,94,97,94,97,890000,84855000
2014-05-01,94,94,92,94,691000,64368000
2014-04-30,90,93,89,93,1175000,107385000
2014-04-28,90,91,89,90,422000,37943000
2014-04-25,92,93,91,92,386000,35288000
2014-04-24,93,93,91,91,237000,21840000
2014-04-23,92,93,92,92,388000,35875000
2014-04-22,92,93,91,91,154000,14132000
2014-04-21,92,92,91,91,224000,20452000
2014-04-18,93,93,92,92,203000,18793000
2014-04-17,94,95,93,93,532000,49962000
2014-04-16,92,94,91,93,486000,45010000
2014-04-15,91,92,90,91,237000,21508000
2014-04-14,89,91,89,90,475000,42494000
