9180-T,JQスタンダード,新和内航,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,480,480,470,470,4000,1900000
2014-06-26,480,480,480,480,1000,480000
2014-06-25,-,-,-,-,0,0
2014-06-24,-,-,-,-,0,0
2014-06-23,480,480,480,480,2000,960000
2014-06-20,-,-,-,-,0,0
2014-06-19,485,487,485,487,2000,972000
2014-06-18,475,475,475,475,1000,475000
2014-06-17,468,468,460,460,4000,1864000
2014-06-16,450,479,450,469,9000,4222000
2014-06-13,435,450,435,450,9000,3967000
2014-06-12,420,428,420,427,11000,4673000
2014-06-11,-,-,-,-,0,0
2014-06-10,428,428,428,428,1000,428000
2014-06-09,428,428,428,428,5000,2140000
2014-06-06,415,415,415,415,1000,415000
2014-06-05,413,413,413,413,1000,413000
2014-06-04,415,415,415,415,1000,415000
2014-06-03,412,415,412,415,5000,2069000
2014-06-02,407,407,407,407,3000,1221000
2014-05-30,405,407,405,407,3000,1217000
2014-05-29,-,-,-,-,0,0
2014-05-28,-,-,-,-,0,0
2014-05-27,406,406,405,405,6000,2432000
2014-05-26,386,405,386,405,4000,1584000
2014-05-23,393,393,385,385,10000,3868000
2014-05-22,386,386,385,385,6000,2312000
2014-05-21,393,393,385,385,3000,1171000
2014-05-20,395,395,395,395,1000,395000
2014-05-19,398,398,380,398,12000,4676000
2014-05-16,406,406,391,398,13000,5186000
2014-05-15,418,418,403,406,11000,4497000
2014-05-14,445,445,423,423,20000,8708000
2014-05-13,453,453,445,445,2000,898000
2014-05-12,-,-,-,-,0,0
2014-05-09,472,472,469,469,2000,941000
2014-05-08,-,-,-,-,0,0
2014-05-07,488,488,488,488,2000,976000
2014-05-02,-,-,-,-,0,0
2014-05-01,474,485,450,485,20000,9412000
2014-04-30,-,-,-,-,0,0
2014-04-28,-,-,-,-,0,0
2014-04-25,533,533,530,530,2000,1063000
2014-04-24,-,-,-,-,0,0
2014-04-23,540,540,538,538,2000,1078000
2014-04-22,-,-,-,-,0,0
2014-04-21,-,-,-,-,0,0
2014-04-18,-,-,-,-,0,0
2014-04-17,553,553,541,541,2000,1094000
2014-04-16,-,-,-,-,0,0
2014-04-15,541,541,541,541,2000,1082000
2014-04-14,-,-,-,-,0,0
2014-04-11,541,541,541,541,2000,1082000
2014-04-10,-,-,-,-,0,0
2014-04-09,-,-,-,-,0,0
2014-04-08,-,-,-,-,0,0
2014-04-07,-,-,-,-,0,0
2014-04-04,553,553,553,553,2000,1106000
2014-04-03,-,-,-,-,0,0
2014-04-02,-,-,-,-,0,0
2014-04-01,-,-,-,-,0,0
2014-03-31,-,-,-,-,0,0
2014-03-28,550,550,550,550,1000,550000
2014-03-27,546,560,546,560,6000,3337000
2014-03-26,545,560,545,560,4000,2210000
2014-03-25,559,559,539,539,3000,1657000
2014-03-24,559,559,559,559,2000,1118000
2014-03-20,-,-,-,-,0,0
2014-03-19,559,559,559,559,1000,559000
2014-03-18,558,558,558,558,1000,558000
2014-03-17,558,558,558,558,3000,1674000
2014-03-14,550,550,550,550,1000,550000
2014-03-13,550,550,550,550,1000,550000
2014-03-12,552,552,552,552,1000,552000
2014-03-11,552,552,552,552,1000,552000
