9204-T,東証1部,スカイマーク,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,292,292,280,281,860300,243885400
2014-06-26,293,294,290,292,345000,100772100
2014-06-25,296,296,290,290,274400,80346600
2014-06-24,295,297,292,296,474400,139953500
2014-06-23,287,298,286,298,770100,223708700
2014-06-20,286,287,284,285,320300,91392500
2014-06-19,285,287,282,286,438300,124876000
2014-06-18,284,285,282,285,288100,81767300
2014-06-17,285,286,281,285,271000,76985800
2014-06-16,290,290,285,285,451800,129760800
2014-06-13,286,288,275,288,527000,149807900
2014-06-12,286,289,285,287,268000,76966100
2014-06-11,290,291,285,290,508200,146360200
2014-06-10,283,292,282,290,704100,202551700
2014-06-09,278,285,278,281,442500,123889600
2014-06-06,275,279,275,276,324700,89775200
2014-06-05,273,280,272,275,776400,214822800
2014-06-04,271,273,269,273,317200,86186500
2014-06-03,272,272,268,269,430300,116129600
2014-06-02,267,273,266,271,516600,139618200
2014-05-30,270,270,265,265,672900,179249600
2014-05-29,269,269,266,269,372000,99656500
2014-05-28,267,270,267,267,337700,90490600
2014-05-27,268,272,266,267,490900,131558200
2014-05-26,268,272,265,268,472900,126520200
2014-05-23,264,269,264,268,360200,96085300
2014-05-22,271,271,264,265,665100,177032400
2014-05-21,270,274,269,271,416600,112845400
2014-05-20,274,277,270,271,446300,121503600
2014-05-19,278,284,275,275,418400,116509200
2014-05-16,295,295,274,277,1183400,334968300
2014-05-15,303,304,299,300,249900,75075800
2014-05-14,305,306,302,303,144200,43817100
2014-05-13,307,307,301,305,191700,58208600
2014-05-12,303,308,302,304,257100,78346100
2014-05-09,304,307,300,301,231300,70212700
2014-05-08,309,309,303,304,223900,68463000
2014-05-07,309,309,307,309,224300,69110200
2014-05-02,311,312,307,309,307200,95183000
2014-05-01,313,313,308,312,257500,79991200
2014-04-30,313,315,307,313,483600,150702300
2014-04-28,304,312,300,312,797500,245634300
2014-04-25,303,307,300,305,388000,118054300
2014-04-24,298,314,298,302,709000,215189700
2014-04-23,294,303,294,297,282600,84355400
2014-04-22,304,305,294,294,313100,94125600
2014-04-21,305,307,300,301,236500,71730700
2014-04-18,305,307,298,302,500200,151367200
2014-04-17,289,309,288,308,999200,300680800
2014-04-16,283,289,283,287,276400,79268800
2014-04-15,288,289,282,284,238200,67817500
2014-04-14,288,293,287,288,205700,59713300
2014-04-11,283,290,277,288,341800,97384300
2014-04-10,292,294,288,288,295200,85829700
2014-04-09,295,295,291,291,386600,113255600
2014-04-08,297,299,294,294,394000,116503800
2014-04-07,295,299,292,297,380800,112351400
2014-04-04,294,295,292,295,196200,57606200
2014-04-03,295,297,291,291,393100,115483400
2014-04-02,290,300,290,293,1081000,319447500
2014-04-01,292,293,287,288,419100,121658700
2014-03-31,289,292,286,291,434000,125484000
2014-03-28,284,288,282,288,322000,91769400
2014-03-27,276,285,275,285,346100,96842500
2014-03-26,280,282,275,275,409800,113858000
2014-03-25,281,285,279,281,717700,202177200
2014-03-24,269,286,269,283,1020400,284316700
2014-03-20,276,277,265,267,1421700,381723700
2014-03-19,281,286,276,277,1023800,286971700
2014-03-18,290,293,280,282,983800,280372400
2014-03-17,296,299,285,288,1016800,294551700
2014-03-14,308,309,298,300,1819300,550769200
2014-03-13,328,329,314,318,1250100,399164500
2014-03-12,336,336,328,328,612200,202918800
2014-03-11,337,339,335,337,226900,76342300
2014-03-10,344,348,335,337,448900,152605100
2014-03-07,347,347,341,344,266100,91505200
2014-03-06,338,346,338,345,364300,124825600
2014-03-05,337,338,335,338,252500,85098800
2014-03-04,332,335,330,334,378200,125594800
2014-03-03,335,339,332,334,540500,180853800
2014-02-28,335,338,332,338,408200,136627400
2014-02-27,338,339,335,336,313000,105326700
2014-02-26,342,342,338,340,207200,70385500
2014-02-25,343,343,340,342,240000,81912700
2014-02-24,340,344,338,341,210500,71626800
2014-02-21,338,340,336,339,229800,77768200
2014-02-20,344,344,336,336,245100,83084100
2014-02-19,341,343,338,340,239200,81331100
2014-02-18,338,344,338,340,341300,116283200
2014-02-17,338,345,333,341,299700,101257300
2014-02-14,345,345,333,339,456600,154182700
2014-02-13,357,357,341,343,471600,163348400
2014-02-12,357,363,349,354,513100,181948300
2014-02-10,347,354,347,352,264800,92807700
2014-02-07,350,355,344,347,403100,140639900
2014-02-06,350,351,340,346,454800,156392500
2014-02-05,340,347,334,345,417500,142238800
2014-02-04,348,349,334,334,730900,249123400
2014-02-03,370,370,356,358,733100,264429100
2014-01-31,349,374,346,372,2384500,858937100
2014-01-30,393,395,384,387,555800,215614700
2014-01-29,400,405,393,398,758100,302897100
2014-01-28,400,411,394,396,741600,298849200
2014-01-27,401,409,399,400,814500,328265400
2014-01-24,420,421,410,413,693200,287528300
2014-01-23,423,426,421,422,399100,168827600
2014-01-22,432,432,423,428,605500,258251900
2014-01-21,432,445,429,431,718600,312583200
2014-01-20,433,438,431,432,550000,238330700
2014-01-17,436,442,421,439,2284500,981415600
2014-01-16,457,460,435,444,1450200,646192100
2014-01-15,450,458,447,455,1219200,553234700
2014-01-14,446,459,430,454,3115100,1394346700
2014-01-10,460,465,445,461,2865600,1309298200
2014-01-09,432,462,430,461,2878200,1286102300
2014-01-08,419,450,416,440,3666000,1576768000
2014-01-07,390,413,389,413,2269900,916916400
2014-01-06,388,393,387,388,1269500,493456200
2013-12-30,395,395,386,386,1046400,406900600
2013-12-27,374,395,373,385,4642900,1791528400
2013-12-26,370,372,367,372,899000,332725100
2013-12-25,368,370,361,366,1080000,396286200
2013-12-24,367,370,366,370,1447200,533666300
2013-12-20,356,365,356,364,1129100,408029900
2013-12-19,350,357,350,355,573400,203035100
2013-12-18,352,354,349,351,669700,235183700
2013-12-17,351,354,350,353,440500,154940300
2013-12-16,351,352,349,350,341500,119760000
2013-12-13,351,351,348,349,303200,105997800
2013-12-12,354,356,349,351,343700,120884500
2013-12-11,360,360,355,356,328700,117692500
2013-12-10,360,363,358,360,549600,198507600
2013-12-09,355,362,354,359,784500,281397600
2013-12-06,358,364,356,356,870400,312672400
2013-12-05,355,365,352,362,3708400,1332221100
2013-12-04,339,341,337,339,508900,172355200
2013-12-03,338,342,337,342,496500,168297900
2013-12-02,338,339,334,338,809700,272084200
2013-11-29,339,342,336,337,477200,161694700
2013-11-28,337,341,336,340,379900,128499700
