9407-F,福証,RKB,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,1109,1109,1109,1109,5000,5545000
2014-06-25,-,-,-,-,0,0
2014-06-24,-,-,-,-,0,0
2014-06-23,-,-,-,-,0,0
2014-06-20,-,-,-,-,0,0
2014-06-19,-,-,-,-,0,0
2014-06-18,-,-,-,-,0,0
2014-06-17,1259,1259,1259,1259,1000,1259000
2014-06-16,1200,1200,1200,1200,1000,1200000
2014-06-13,-,-,-,-,0,0
2014-06-12,-,-,-,-,0,0
2014-06-11,1200,1200,1200,1200,1000,1200000
2014-06-10,-,-,-,-,0,0
2014-06-09,-,-,-,-,0,0
2014-06-06,-,-,-,-,0,0
2014-06-05,-,-,-,-,0,0
2014-06-04,1210,1210,1210,1210,1000,1210000
2014-06-03,-,-,-,-,0,0
2014-06-02,-,-,-,-,0,0
2014-05-30,-,-,-,-,0,0
2014-05-29,1290,1300,1290,1300,5000,6480000
2014-05-28,1299,1299,1299,1299,1000,1299000
2014-05-27,-,-,-,-,0,0
2014-05-26,-,-,-,-,0,0
2014-05-23,-,-,-,-,0,0
2014-05-22,1299,1299,1299,1299,1000,1299000
2014-05-21,-,-,-,-,0,0
2014-05-20,-,-,-,-,0,0
2014-05-19,-,-,-,-,0,0
2014-05-16,-,-,-,-,0,0
2014-05-15,-,-,-,-,0,0
2014-05-14,-,-,-,-,0,0
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,-,-,-,-,0,0
2014-05-08,-,-,-,-,0,0
2014-05-07,-,-,-,-,0,0
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
2014-04-28,1330,1330,1330,1330,1000,1330000
2014-04-25,-,-,-,-,0,0
2014-04-24,-,-,-,-,0,0
2014-04-23,1315,1330,1315,1330,3000,3960000
2014-04-22,1330,1330,1330,1330,2000,2660000
2014-04-21,-,-,-,-,0,0
2014-04-18,-,-,-,-,0,0
2014-04-17,-,-,-,-,0,0
2014-04-16,1330,1330,1330,1330,1000,1330000
2014-04-15,-,-,-,-,0,0
2014-04-14,-,-,-,-,0,0
2014-04-11,-,-,-,-,0,0
2014-04-10,-,-,-,-,0,0
2014-04-09,-,-,-,-,0,0
2014-04-08,-,-,-,-,0,0
2014-04-07,-,-,-,-,0,0
2014-04-04,-,-,-,-,0,0
2014-04-03,-,-,-,-,0,0
2014-04-02,1330,1330,1330,1330,2000,2660000
2014-04-01,-,-,-,-,0,0
2014-03-31,-,-,-,-,0,0
2014-03-28,1347,1347,1347,1347,1000,1347000
2014-03-27,-,-,-,-,0,0
2014-03-26,1359,1359,1359,1359,1000,1359000
2014-03-25,1294,1294,1294,1294,1000,1294000
2014-03-24,-,-,-,-,0,0
2014-03-20,-,-,-,-,0,0
2014-03-19,-,-,-,-,0,0
2014-03-18,-,-,-,-,0,0
2014-03-17,-,-,-,-,0,0
2014-03-14,-,-,-,-,0,0
2014-03-13,-,-,-,-,0,0
2014-03-12,-,-,-,-,0,0
2014-03-11,1200,1200,1200,1200,1000,1200000
2014-03-10,-,-,-,-,0,0
2014-03-07,-,-,-,-,0,0
2014-03-06,-,-,-,-,0,0
2014-03-05,1200,1200,1200,1200,1000,1200000
2014-03-04,1200,1200,1200,1200,1000,1200000
2014-03-03,1250,1250,1250,1250,1000,1250000
2014-02-28,-,-,-,-,0,0
2014-02-27,-,-,-,-,0,0
2014-02-26,-,-,-,-,0,0
2014-02-25,-,-,-,-,0,0
2014-02-24,1200,1200,1200,1200,1000,1200000
2014-02-21,-,-,-,-,0,0
2014-02-20,1200,1200,1200,1200,1000,1200000
2014-02-19,-,-,-,-,0,0
2014-02-18,1200,1200,1200,1200,1000,1200000
2014-02-17,-,-,-,-,0,0
2014-02-14,-,-,-,-,0,0
2014-02-13,-,-,-,-,0,0
2014-02-12,-,-,-,-,0,0
2014-02-10,-,-,-,-,0,0
2014-02-07,-,-,-,-,0,0
2014-02-06,1200,1200,1200,1200,1000,1200000
2014-02-05,1234,1234,1234,1234,1000,1234000
2014-02-04,-,-,-,-,0,0
2014-02-03,1234,1234,1234,1234,2000,2468000
2014-01-31,-,-,-,-,0,0
2014-01-30,-,-,-,-,0,0
2014-01-29,-,-,-,-,0,0
2014-01-28,-,-,-,-,0,0
2014-01-27,-,-,-,-,0,0
2014-01-24,1176,1176,1176,1176,1000,1176000
2014-01-23,-,-,-,-,0,0
2014-01-22,1120,1120,1120,1120,1000,1120000
2014-01-21,-,-,-,-,0,0
2014-01-20,-,-,-,-,0,0
2014-01-17,1080,1080,1080,1080,3000,3240000
2014-01-16,-,-,-,-,0,0
2014-01-15,-,-,-,-,0,0
2014-01-14,-,-,-,-,0,0
2014-01-10,-,-,-,-,0,0
2014-01-09,-,-,-,-,0,0
2014-01-08,1080,1080,1080,1080,5000,5400000
2014-01-07,1081,1081,1081,1081,1000,1081000
2014-01-06,-,-,-,-,0,0
2013-12-30,-,-,-,-,0,0
2013-12-27,-,-,-,-,0,0
2013-12-26,-,-,-,-,0,0
2013-12-25,1050,1050,1030,1030,2000,2080000
2013-12-24,-,-,-,-,0,0
2013-12-20,1040,1040,1030,1030,2000,2070000
2013-12-19,-,-,-,-,0,0
2013-12-18,1061,1061,1040,1040,3000,3141000
2013-12-17,-,-,-,-,0,0
2013-12-16,1010,1010,1010,1010,1000,1010000
2013-12-13,1010,1010,1010,1010,2000,2020000
2013-12-12,1010,1010,1010,1010,2000,2020000
2013-12-11,-,-,-,-,0,0
2013-12-10,1020,1020,1020,1020,2000,2040000
2013-12-09,1020,1020,1020,1020,1000,1020000
2013-12-06,-,-,-,-,0,0
2013-12-05,-,-,-,-,0,0
2013-12-04,-,-,-,-,0,0
2013-12-03,1030,1030,1018,1020,8000,8191000
2013-12-02,1030,1030,1030,1030,2000,2060000
2013-11-29,1040,1050,1040,1040,3000,3130000
2013-11-28,-,-,-,-,0,0
2013-11-27,-,-,-,-,0,0
2013-11-26,1020,1020,1020,1020,3000,3060000
2013-11-25,1045,1045,1045,1045,1000,1045000
2013-11-22,995,995,995,995,1000,995000
2013-11-21,-,-,-,-,0,0
2013-11-20,940,940,940,940,1000,940000
2013-11-19,920,920,920,920,1000,920000
2013-11-18,-,-,-,-,0,0
2013-11-15,930,930,930,930,2000,1860000
2013-11-14,-,-,-,-,0,0
2013-11-13,-,-,-,-,0,0
2013-11-12,930,930,930,930,2000,1860000
2013-11-11,-,-,-,-,0,0
2013-11-08,924,924,918,918,3000,2760000
2013-11-07,918,918,918,918,1000,918000
2013-11-06,918,918,918,918,1000,918000
2013-11-05,918,918,918,918,1000,918000
2013-11-01,918,918,918,918,1000,918000
2013-10-31,-,-,-,-,0,0
2013-10-30,-,-,-,-,0,0
2013-10-29,-,-,-,-,0,0
2013-10-28,918,918,918,918,2000,1836000
2013-10-25,-,-,-,-,0,0
2013-10-24,-,-,-,-,0,0
2013-10-23,918,918,918,918,1000,918000
2013-10-22,-,-,-,-,0,0
2013-10-21,-,-,-,-,0,0
2013-10-18,-,-,-,-,0,0
2013-10-17,-,-,-,-,0,0
2013-10-16,-,-,-,-,0,0
2013-10-15,-,-,-,-,0,0
2013-10-11,-,-,-,-,0,0
2013-10-10,-,-,-,-,0,0
2013-10-09,-,-,-,-,0,0
2013-10-08,874,874,874,874,3000,2622000
2013-10-07,-,-,-,-,0,0
2013-10-04,874,874,874,874,1000,874000
2013-10-03,919,919,919,919,9000,8271000
2013-10-02,929,929,929,929,2000,1858000
2013-10-01,945,945,945,945,1000,945000
2013-09-30,-,-,-,-,0,0
2013-09-27,900,900,900,900,3000,2700000
2013-09-26,930,930,930,930,1000,930000
2013-09-25,930,930,930,930,1000,930000
2013-09-24,930,930,930,930,1000,930000
2013-09-20,-,-,-,-,0,0
2013-09-19,-,-,-,-,0,0
2013-09-18,920,930,920,930,2000,1850000
2013-09-17,903,903,903,903,1000,903000
2013-09-13,885,903,885,903,3000,2691000
2013-09-12,-,-,-,-,0,0
2013-09-11,-,-,-,-,0,0
2013-09-10,900,900,900,900,3000,2700000
2013-09-09,903,903,900,900,6000,5415000
2013-09-06,860,860,860,860,4000,3440000
2013-09-05,860,860,860,860,2000,1720000
2013-09-04,860,860,860,860,1000,860000
2013-09-03,860,860,860,860,1000,860000
2013-09-02,860,860,860,860,1000,860000
2013-08-30,860,860,860,860,1000,860000
2013-08-29,903,903,860,860,4000,3483000
2013-08-28,-,-,-,-,0,0
2013-08-27,860,860,860,860,1000,860000
2013-08-26,860,860,860,860,1000,860000
2013-08-23,860,860,860,860,1000,860000
2013-08-22,860,860,860,860,3000,2580000
2013-08-21,860,860,860,860,1000,860000
2013-08-20,-,-,-,-,0,0
2013-08-19,-,-,-,-,0,0
2013-08-16,-,-,-,-,0,0
2013-08-15,-,-,-,-,0,0
2013-08-14,-,-,-,-,0,0
2013-08-13,-,-,-,-,0,0
2013-08-12,-,-,-,-,0,0
2013-08-09,-,-,-,-,0,0
2013-08-08,860,860,860,860,1000,860000
2013-08-07,860,860,860,860,2000,1720000
2013-08-06,-,-,-,-,0,0
2013-08-05,860,860,860,860,1000,860000
2013-08-02,-,-,-,-,0,0
2013-08-01,850,850,850,850,2000,1700000
2013-07-31,-,-,-,-,0,0
2013-07-30,882,882,882,882,3000,2646000
2013-07-29,-,-,-,-,0,0
2013-07-26,-,-,-,-,0,0
2013-07-25,-,-,-,-,0,0
2013-07-24,-,-,-,-,0,0
2013-07-23,861,861,840,840,12000,10143000
2013-07-22,-,-,-,-,0,0
2013-07-19,820,820,820,820,1000,820000
2013-07-18,840,840,825,825,2000,1665000
2013-07-17,-,-,-,-,0,0
2013-07-16,-,-,-,-,0,0
2013-07-12,-,-,-,-,0,0
2013-07-11,-,-,-,-,0,0
2013-07-10,-,-,-,-,0,0
2013-07-09,-,-,-,-,0,0
2013-07-08,-,-,-,-,0,0
2013-07-05,-,-,-,-,0,0
2013-07-04,-,-,-,-,0,0
2013-07-03,840,840,840,840,1000,840000
2013-07-02,-,-,-,-,0,0
2013-07-01,-,-,-,-,0,0
2013-06-28,-,-,-,-,0,0
2013-06-27,-,-,-,-,0,0
2013-06-26,800,800,800,800,3000,2400000
2013-06-25,814,814,814,814,1000,814000
2013-06-24,775,775,775,775,1000,775000
2013-06-21,774,774,774,774,1000,774000
