9539-T,東証2部,葉ガス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,520,520,520,520,4000,2080000
2014-06-26,-,-,-,-,0,0
2014-06-25,550,550,548,548,4000,2198000
2014-06-24,539,540,539,540,2000,1079000
2014-06-23,538,540,538,539,15000,8073000
2014-06-20,532,538,532,538,13000,6926000
2014-06-19,529,532,529,532,2000,1061000
2014-06-18,528,528,526,526,2000,1054000
2014-06-17,521,522,520,522,4000,2084000
2014-06-16,520,520,520,520,2000,1040000
2014-06-13,510,515,510,515,2000,1025000
2014-06-12,497,506,497,506,5000,2503000
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,-,-,-,-,0,0
2014-06-06,-,-,-,-,0,0
2014-06-05,506,506,506,506,4000,2024000
2014-06-04,-,-,-,-,0,0
2014-06-03,-,-,-,-,0,0
2014-06-02,-,-,-,-,0,0
2014-05-30,-,-,-,-,0,0
2014-05-29,510,510,510,510,2000,1020000
2014-05-28,502,503,502,503,2000,1005000
2014-05-27,496,496,496,496,1000,496000
2014-05-26,503,503,501,501,4000,2010000
2014-05-23,496,496,496,496,8000,3968000
2014-05-22,492,497,492,496,5000,2469000
2014-05-21,492,492,492,492,1000,492000
2014-05-20,500,500,500,500,1000,500000
2014-05-19,493,493,493,493,1000,493000
2014-05-16,-,-,-,-,0,0
2014-05-15,-,-,-,-,0,0
2014-05-14,481,501,481,501,3000,1467000
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,-,-,-,-,0,0
2014-05-08,498,498,479,480,7000,3419000
2014-05-07,-,-,-,-,0,0
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
2014-04-28,503,503,503,503,2000,1006000
2014-04-25,520,520,520,520,4000,2080000
2014-04-24,523,523,523,523,1000,523000
2014-04-23,498,533,497,533,34000,17162000
2014-04-22,505,507,504,507,5000,2526000
2014-04-21,501,506,498,506,5000,2517000
2014-04-18,505,508,499,501,8000,4018000
2014-04-17,499,499,499,499,1000,499000
2014-04-16,-,-,-,-,0,0
2014-04-15,495,503,495,503,3000,1493000
2014-04-14,504,504,504,504,1000,504000
2014-04-11,505,505,505,505,1000,505000
2014-04-10,494,506,494,506,3000,1498000
2014-04-09,503,503,493,493,10000,4950000
2014-04-08,509,509,509,509,1000,509000
2014-04-07,-,-,-,-,0,0
2014-04-04,-,-,-,-,0,0
2014-04-03,510,510,510,510,1000,510000
2014-04-02,-,-,-,-,0,0
2014-04-01,-,-,-,-,0,0
2014-03-31,-,-,-,-,0,0
2014-03-28,-,-,-,-,0,0
2014-03-27,505,505,505,505,1000,505000
2014-03-26,-,-,-,-,0,0
2014-03-25,523,523,504,504,6000,3081000
2014-03-24,520,520,520,520,6000,3120000
2014-03-20,516,516,511,511,6000,3083000
2014-03-19,508,508,508,508,1000,508000
2014-03-18,514,514,514,514,1000,514000
2014-03-17,-,-,-,-,0,0
2014-03-14,-,-,-,-,0,0
2014-03-13,-,-,-,-,0,0
2014-03-12,-,-,-,-,0,0
2014-03-11,504,504,504,504,2000,1008000
2014-03-10,-,-,-,-,0,0
2014-03-07,-,-,-,-,0,0
2014-03-06,-,-,-,-,0,0
2014-03-05,-,-,-,-,0,0
2014-03-04,-,-,-,-,0,0
2014-03-03,514,514,514,514,2000,1028000
2014-02-28,505,515,505,515,5000,2535000
2014-02-27,-,-,-,-,0,0
2014-02-26,508,508,508,508,1000,508000
2014-02-25,515,515,515,515,3000,1545000
2014-02-24,516,516,512,512,9000,4636000
2014-02-21,517,517,516,517,3000,1550000
2014-02-20,519,519,492,512,15000,7662000
2014-02-19,517,517,517,517,1000,517000
2014-02-18,522,522,522,522,1000,522000
2014-02-17,-,-,-,-,0,0
2014-02-14,-,-,-,-,0,0
2014-02-13,-,-,-,-,0,0
2014-02-12,-,-,-,-,0,0
2014-02-10,-,-,-,-,0,0
2014-02-07,-,-,-,-,0,0
2014-02-06,516,516,512,512,3000,1541000
2014-02-05,-,-,-,-,0,0
2014-02-04,-,-,-,-,0,0
2014-02-03,-,-,-,-,0,0
2014-01-31,520,520,520,520,2000,1040000
2014-01-30,520,520,520,520,1000,520000
2014-01-29,-,-,-,-,0,0
2014-01-28,-,-,-,-,0,0
2014-01-27,526,526,522,522,3000,1574000
2014-01-24,526,526,526,526,1000,526000
2014-01-23,533,533,533,533,6000,3198000
2014-01-22,535,535,535,535,1000,535000
2014-01-21,527,527,527,527,2000,1054000
