9612-T,東証2部,ラックランド,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,850,850,825,825,600,499500
2014-06-26,830,830,805,805,4600,3787200
2014-06-25,801,822,801,822,3400,2755300
2014-06-24,805,805,800,805,700,562500
2014-06-23,805,814,762,805,4100,3242300
2014-06-20,800,805,797,805,1200,960500
2014-06-19,798,805,798,805,400,320800
2014-06-18,820,824,805,805,1200,975300
2014-06-17,800,800,789,790,500,396200
2014-06-16,764,800,764,779,3900,3074200
2014-06-13,754,763,754,763,1200,910000
2014-06-12,755,755,749,754,1000,754100
2014-06-11,750,754,750,754,700,526600
2014-06-10,750,750,747,747,1000,749300
2014-06-09,750,754,750,751,1900,1428700
2014-06-06,751,754,751,754,500,376500
2014-06-05,746,750,746,749,800,597900
2014-06-04,745,753,745,745,600,448600
2014-06-03,747,755,745,745,1000,747100
2014-06-02,746,755,742,747,6500,4841900
2014-05-30,742,745,742,742,1500,1114400
2014-05-29,743,744,740,741,500,370800
2014-05-28,719,738,719,725,1000,725900
2014-05-27,730,741,717,717,2100,1528300
2014-05-26,744,744,710,726,7800,5732500
2014-05-23,742,750,742,750,3200,2378100
2014-05-22,734,740,734,737,400,294700
2014-05-21,726,727,726,727,200,145300
2014-05-20,736,737,735,735,600,441600
2014-05-19,725,736,724,736,9400,6816700
2014-05-16,731,731,722,725,1100,800300
2014-05-15,725,735,725,735,1300,943900
2014-05-14,716,730,716,724,900,650600
2014-05-13,750,750,710,715,4200,3069600
2014-05-12,753,753,750,753,1000,752700
2014-05-09,757,759,752,752,1600,1210600
2014-05-08,756,757,743,743,1600,1193400
2014-05-07,741,741,741,741,200,148200
2014-05-02,740,746,739,746,1600,1184200
2014-05-01,740,740,720,739,2600,1900800
2014-04-30,763,763,745,745,3200,2404300
2014-04-28,767,769,767,769,3000,2301400
2014-04-25,754,756,752,752,2600,1961100
2014-04-24,750,750,748,748,200,149800
2014-04-23,732,750,732,749,2200,1617500
2014-04-22,742,747,742,747,300,223600
2014-04-21,741,742,741,742,200,148300
2014-04-18,750,750,742,742,700,523300
2014-04-17,750,750,745,747,400,299200
2014-04-16,744,750,744,750,200,149400
2014-04-15,745,745,740,740,1500,1113900
2014-04-14,741,741,741,741,500,370500
2014-04-11,745,750,743,743,700,521500
2014-04-10,750,753,745,745,3500,2621100
2014-04-09,745,749,741,748,7200,5371100
2014-04-08,745,745,741,745,1000,743900
2014-04-07,740,755,740,743,2100,1572600
2014-04-04,740,744,736,739,1200,887400
2014-04-03,737,740,735,740,900,664300
2014-04-02,741,765,741,744,3400,2554600
2014-04-01,780,780,736,738,10100,7802000
2014-03-31,720,726,713,725,2600,1874800
2014-03-28,703,710,703,709,2500,1766600
2014-03-27,701,702,699,701,1100,770600
2014-03-26,699,700,686,699,6700,4667000
2014-03-25,703,703,692,698,3800,2646500
2014-03-24,686,702,686,692,1200,834300
2014-03-20,710,712,681,686,7800,5447100
2014-03-19,706,717,706,708,800,568800
2014-03-18,719,719,701,711,1300,916700
2014-03-17,711,730,700,700,2900,2059600
2014-03-14,691,711,691,711,1600,1116200
2014-03-13,750,768,691,691,19100,13781100
2014-03-12,702,788,701,730,66200,50305200
2014-03-11,691,699,688,688,1300,902100
2014-03-10,690,690,690,690,100,69000
2014-03-07,684,690,684,690,400,274700
2014-03-06,688,688,686,687,600,412300
2014-03-05,676,683,676,678,700,474300
2014-03-04,683,683,676,676,2100,1433600
2014-03-03,683,683,673,683,1000,679700
2014-02-28,683,683,683,683,1100,751300
2014-02-27,682,684,682,683,1600,1091800
2014-02-26,686,686,682,682,4000,2740400
2014-02-25,684,687,677,683,3300,2257200
2014-02-24,669,675,663,675,2000,1334700
2014-02-21,676,676,669,669,1600,1073800
2014-02-20,676,676,662,676,2300,1539100
2014-02-19,658,678,658,677,2200,1459500
2014-02-18,675,675,674,674,200,134900
2014-02-17,669,670,667,670,4000,2674700
2014-02-14,677,677,667,667,1600,1077300
2014-02-13,678,678,678,678,100,67800
2014-02-12,680,683,678,678,800,543900
2014-02-10,675,684,675,682,700,475000
2014-02-07,680,684,680,680,500,340400
2014-02-06,675,677,675,677,800,540300
2014-02-05,672,685,672,676,900,610600
2014-02-04,670,686,669,686,3200,2157200
2014-02-03,685,685,677,678,1600,1088500
2014-01-31,690,690,685,685,1000,688500
2014-01-30,690,690,681,690,1300,890700
2014-01-29,695,701,695,700,4700,3284500
2014-01-28,697,697,675,695,2100,1437200
2014-01-27,700,700,677,697,5400,3739400
2014-01-24,699,699,680,691,3700,2554500
2014-01-23,698,700,688,693,1800,1247300
2014-01-22,689,697,688,697,3100,2137800
2014-01-21,692,692,688,688,900,620900
2014-01-20,689,693,685,685,4200,2891400
2014-01-17,706,706,686,699,4200,2919800
2014-01-16,695,713,695,706,4100,2894300
2014-01-15,694,699,692,693,1600,1112900
2014-01-14,687,691,687,688,1500,1032700
2014-01-10,683,688,683,687,2100,1438800
2014-01-09,675,680,669,679,2100,1415700
2014-01-08,676,682,670,679,5900,3970200
2014-01-07,691,691,677,679,1900,1298200
2014-01-06,690,691,674,676,5100,3466700
2013-12-30,671,680,670,680,5800,3913200
2013-12-27,693,693,660,682,7100,4865400
2013-12-26,663,679,650,673,24300,16100100
2013-12-25,740,745,715,718,31100,22704300
2013-12-24,725,726,719,725,14600,10556300
2013-12-20,719,731,698,711,20100,14238500
2013-12-19,719,719,714,719,7300,5239200
2013-12-18,701,740,697,719,22900,16413500
2013-12-17,694,697,656,679,33000,22533700
