9619-T,東証1部,イチネンHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,789,794,779,788,26200,20589500
2014-06-26,794,799,785,785,33500,26502300
2014-06-25,800,805,792,793,34100,27232100
2014-06-24,790,804,787,800,48200,38442100
2014-06-23,796,799,789,792,44900,35648100
2014-06-20,790,790,780,782,53000,41610000
2014-06-19,793,794,787,789,49100,38822600
2014-06-18,786,792,785,792,57800,45617700
2014-06-17,775,785,774,780,47200,36867500
2014-06-16,770,772,768,770,33400,25704500
2014-06-13,759,767,757,766,53600,40748000
2014-06-12,764,767,757,762,41200,31415100
2014-06-11,749,773,749,769,139700,106588100
2014-06-10,742,747,742,743,44700,33262000
2014-06-09,740,742,735,741,51600,38038900
2014-06-06,739,739,732,736,39000,28676800
2014-06-05,745,746,733,739,28100,20765200
2014-06-04,749,749,745,748,13700,10237800
2014-06-03,752,753,748,749,13500,10134700
2014-06-02,747,748,741,748,19900,14826000
2014-05-30,746,746,738,741,22000,16313600
2014-05-29,741,746,735,744,13600,10067200
2014-05-28,747,747,742,745,14800,11025100
2014-05-27,743,745,741,745,25200,18757900
2014-05-26,737,741,736,741,12100,8941900
2014-05-23,734,739,730,736,15100,11113600
2014-05-22,725,733,716,733,28000,20341600
2014-05-21,708,724,707,720,33500,23992500
2014-05-20,705,715,703,710,18800,13334000
2014-05-19,717,717,705,705,16600,11785900
2014-05-16,727,727,705,711,48700,34665000
2014-05-15,732,732,728,729,15200,11095700
2014-05-14,735,735,730,732,25000,18292600
2014-05-13,730,742,729,738,22300,16425100
2014-05-12,733,736,728,729,26100,19066300
2014-05-09,733,738,731,733,29900,21931700
2014-05-08,734,740,733,733,26600,19580200
2014-05-07,742,745,730,732,46500,34202500
2014-05-02,753,753,741,742,28600,21344500
2014-05-01,757,760,750,753,38000,28672300
2014-04-30,745,755,742,752,45900,34347700
2014-04-28,741,741,735,739,13100,9670300
2014-04-25,740,743,735,741,17700,13100800
2014-04-24,737,742,734,735,27200,20070300
2014-04-23,741,743,739,739,17700,13100000
2014-04-22,750,750,736,737,23400,17361800
2014-04-21,754,756,743,745,17000,12723800
2014-04-18,752,754,746,751,23100,17325900
2014-04-17,757,759,752,752,15800,11921200
2014-04-16,741,758,741,756,28700,21512300
2014-04-15,751,751,743,743,19700,14697200
2014-04-14,740,747,739,742,15500,11511200
2014-04-11,745,747,735,740,51600,38273000
2014-04-10,752,759,750,752,43600,32921000
2014-04-09,744,758,739,739,69800,52088700
2014-04-08,753,756,745,751,44200,33202000
2014-04-07,762,765,757,758,31700,24109800
2014-04-04,770,771,764,768,32300,24800900
2014-04-03,778,778,768,770,29600,22862200
2014-04-02,781,781,761,769,62100,48096400
2014-04-01,785,785,772,782,27500,21452800
2014-03-31,780,783,768,782,42700,33157800
2014-03-28,777,782,765,781,65800,51030600
2014-03-27,762,777,754,771,72800,55707900
2014-03-26,756,773,756,770,221000,167995100
2014-03-25,775,780,769,771,72500,56221200
2014-03-24,764,778,760,769,100800,77477400
2014-03-20,763,763,749,751,54100,40918200
2014-03-19,775,775,760,765,59400,45546900
2014-03-18,771,778,762,775,48400,37310500
2014-03-17,766,774,755,758,58100,44163600
