9641-T,JQスタンダード,サコス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,407,411,403,405,11500,4663700
2014-06-26,415,415,410,410,15400,6362000
2014-06-25,412,420,406,413,50000,20597000
2014-06-24,408,410,406,409,12900,5263200
2014-06-23,415,415,407,411,13800,5661000
2014-06-20,410,413,403,407,35200,14397300
2014-06-19,422,422,406,406,51500,21316600
2014-06-18,409,419,401,413,62400,25708900
2014-06-17,399,410,397,405,34400,13833800
2014-06-16,397,400,394,398,22700,9026300
2014-06-13,393,397,390,397,7400,2920900
2014-06-12,389,394,388,392,5400,2117600
2014-06-11,393,395,387,392,19500,7616600
2014-06-10,387,387,380,385,7000,2679800
2014-06-09,382,390,382,386,9700,3742000
2014-06-06,376,381,376,380,13800,5206400
2014-06-05,379,381,375,377,10900,4117600
2014-06-04,380,381,377,379,11400,4328800
2014-06-03,380,380,375,378,12100,4561200
2014-06-02,380,382,375,377,23300,8808200
2014-05-30,381,383,377,380,5400,2057300
2014-05-29,378,381,377,381,4800,1817800
2014-05-28,381,383,381,382,2400,915700
2014-05-27,383,390,378,381,3000,1144300
2014-05-26,384,385,379,382,8100,3105200
2014-05-23,387,387,378,385,5300,2023300
2014-05-22,375,387,375,387,8000,3046200
2014-05-21,379,379,371,375,1300,486500
2014-05-20,375,379,371,379,2200,824400
2014-05-19,374,384,370,370,9400,3520500
2014-05-16,389,389,369,382,21100,7956400
2014-05-15,395,402,384,388,28700,11298100
2014-05-14,383,391,383,391,11400,4409000
2014-05-13,388,393,383,386,14300,5560200
2014-05-12,406,406,365,373,26700,10393600
2014-05-09,410,410,401,402,28500,11590100
2014-05-08,405,408,401,407,29700,12036100
2014-05-07,402,402,398,398,9800,3924700
2014-05-02,403,404,397,401,3100,1242700
2014-05-01,398,402,398,401,16500,6579900
2014-04-30,398,398,389,393,5100,2010300
2014-04-28,402,402,393,396,13200,5258700
2014-04-25,396,398,392,398,3500,1383400
2014-04-24,394,395,390,392,4900,1924300
2014-04-23,392,393,385,393,13100,5121900
2014-04-22,397,399,393,393,8000,3162300
2014-04-21,390,401,390,396,6500,2577600
2014-04-18,393,396,392,392,9400,3694800
2014-04-17,393,399,393,399,11900,4685300
2014-04-16,393,395,390,394,7200,2830200
2014-04-15,390,396,390,395,10000,3907900
2014-04-14,383,393,383,393,1000,385200
2014-04-11,392,395,389,391,5900,2311100
2014-04-10,391,409,391,397,5700,2288200
2014-04-09,401,401,381,390,14000,5507900
2014-04-08,397,401,396,400,8100,3223500
2014-04-07,400,408,395,401,12500,5010500
2014-04-04,404,411,398,408,15300,6177700
2014-04-03,405,415,405,407,8800,3617500
2014-04-02,422,422,412,412,31600,13205900
2014-04-01,407,424,402,415,60900,25108800
2014-03-31,400,406,394,404,29300,11775700
2014-03-28,399,402,393,398,21800,8685200
2014-03-27,378,406,378,392,92300,36216600
2014-03-26,377,379,373,378,32800,12381200
2014-03-25,371,372,369,372,3700,1371900
2014-03-24,360,373,360,373,16200,5883200
2014-03-20,371,371,363,363,2900,1065700
2014-03-19,372,372,363,371,7000,2575300
2014-03-18,363,371,363,369,15300,5579000
2014-03-17,369,372,365,369,14700,5404000
2014-03-14,365,372,364,369,14900,5480500
2014-03-13,374,380,374,378,25500,9633400
2014-03-12,365,376,365,376,11600,4299100
2014-03-11,367,375,365,371,21000,7772200
2014-03-10,362,366,358,364,37800,13679000
2014-03-07,353,355,353,353,4800,1697300
2014-03-06,350,354,348,354,12100,4239200
2014-03-05,354,358,354,355,11400,4051500
2014-03-04,347,354,347,354,2600,910600
2014-03-03,360,360,349,351,7200,2537500
2014-02-28,362,362,358,358,4000,1438700
2014-02-27,363,363,361,363,1000,362800
2014-02-26,364,365,359,364,13300,4818900
2014-02-25,360,363,357,363,8500,3057400
2014-02-24,360,364,360,361,1900,687400
2014-02-21,362,365,358,363,8100,2936000
2014-02-20,364,364,356,358,3600,1293700
2014-02-19,365,365,360,361,6700,2422300
2014-02-18,364,365,362,364,4000,1453400
2014-02-17,363,370,363,363,7300,2663900
2014-02-14,366,366,360,363,4400,1594500
2014-02-13,370,370,365,366,5000,1839000
2014-02-12,368,371,366,370,19000,6993100
2014-02-10,363,366,358,362,16800,6069200
2014-02-07,345,357,345,355,18900,6597200
2014-02-06,334,340,332,340,2400,808800
2014-02-05,338,338,326,335,7600,2519300
2014-02-04,340,340,323,332,39300,13039600
2014-02-03,358,358,352,352,10300,3671400
2014-01-31,366,370,361,364,7400,2700100
2014-01-30,370,371,364,364,10700,3933500
2014-01-29,381,388,372,376,33100,12561700
2014-01-28,374,388,368,378,52300,19747200
2014-01-27,374,374,361,370,23700,8809700
2014-01-24,366,369,355,368,13700,4948000
2014-01-23,374,374,364,366,16400,6068600
2014-01-22,372,373,370,373,5500,2045100
2014-01-21,371,384,371,374,39600,14914900
2014-01-20,369,370,368,370,9700,3580700
2014-01-17,369,370,367,369,8200,3020400
2014-01-16,370,372,365,370,16700,6175400
2014-01-15,364,369,364,365,18800,6853200
2014-01-14,365,374,361,365,21600,7900400
2014-01-10,364,373,364,373,10300,3797100
2014-01-09,366,366,362,363,23000,8364300
2014-01-08,374,375,368,370,29500,10980000
2014-01-07,374,375,366,372,10900,4044500
2014-01-06,374,376,367,373,27300,10166800
2013-12-30,364,364,350,358,19600,6983600
2013-12-27,356,360,352,356,17400,6191800
2013-12-26,343,355,343,355,45900,15993700
2013-12-25,338,340,325,340,36400,12314800
2013-12-24,336,343,336,337,15800,5373500
2013-12-20,335,340,334,336,13500,4558400
2013-12-19,339,339,335,335,17200,5801200
2013-12-18,336,336,327,335,6100,2017600
2013-12-17,333,339,328,333,12600,4179900
2013-12-16,337,338,325,328,20200,6706700
2013-12-13,333,339,330,334,11000,3676900
2013-12-12,333,339,333,335,3100,1043400
2013-12-11,339,339,333,338,6100,2052900
2013-12-10,336,340,336,336,6300,2122900
2013-12-09,333,343,333,339,12700,4278700
2013-12-06,343,343,341,341,7800,2674700
2013-12-05,345,345,340,340,9700,3318700
2013-12-04,342,347,341,343,4200,1439900
2013-12-03,354,354,347,347,5500,1932500
2013-12-02,351,354,342,353,18100,6330300
2013-11-29,347,347,330,343,35000,11857000
2013-11-28,348,349,340,341,12500,4294300
2013-11-27,352,352,345,346,14100,4920600
2013-11-26,355,355,350,352,12500,4417100
2013-11-25,354,356,350,353,13100,4613400
2013-11-22,365,365,350,355,16200,5809800
2013-11-21,359,365,356,358,21000,7550100
2013-11-20,368,368,353,357,15100,5466300
2013-11-19,373,373,367,371,2400,888200
2013-11-18,376,376,367,368,13900,5140100
2013-11-15,377,381,366,366,22100,8238900
2013-11-14,393,399,363,378,90000,34591300
2013-11-13,389,395,383,390,9900,3845800
2013-11-12,397,398,389,394,11900,4683600
2013-11-11,400,404,391,391,13300,5292800
2013-11-08,380,400,380,395,34700,13668100
2013-11-07,382,386,382,385,6900,2647000
2013-11-06,385,387,378,380,4300,1645400
2013-11-05,388,388,375,387,4900,1869600
2013-11-01,381,386,380,386,10700,4080600
2013-10-31,385,385,382,383,5500,2109700
2013-10-30,386,388,381,386,11400,4378300
2013-10-29,390,391,381,386,11600,4479100
2013-10-28,398,400,388,393,24000,9516900
2013-10-25,388,394,387,394,9900,3855800
2013-10-24,392,395,383,394,13700,5362900
2013-10-23,393,393,384,391,11000,4288600
2013-10-22,390,394,388,390,12900,5032400
2013-10-21,383,390,381,389,13800,5340500
2013-10-18,381,383,375,381,9900,3769100
2013-10-17,380,380,372,380,6300,2385500
2013-10-16,379,379,370,374,5900,2201400
2013-10-15,380,381,372,380,11900,4487800
2013-10-11,377,380,372,374,9800,3705800
2013-10-10,375,378,370,373,13900,5196300
2013-10-09,364,380,358,375,8100,3007400
2013-10-08,355,365,350,365,13700,4867400
2013-10-07,363,371,355,355,21600,7774900
2013-10-04,370,372,360,371,27600,10129300
2013-10-03,372,380,372,374,9300,3472200
2013-10-02,384,384,372,380,17900,6740200
2013-10-01,382,385,375,376,41200,15602800
2013-09-30,386,388,380,385,25400,9721300
2013-09-27,399,404,384,394,25400,10007300
2013-09-26,407,407,387,398,36700,14558500
2013-09-25,410,410,381,407,72100,28700400
2013-09-24,391,410,391,410,113800,45770500
2013-09-20,400,400,380,385,49300,19437000
2013-09-19,392,400,387,399,140300,55287700
2013-09-18,370,388,366,378,91000,34285800
2013-09-17,361,370,360,366,43100,15781300
2013-09-13,354,356,345,354,25400,8933100
2013-09-12,354,357,351,354,18200,6425400
2013-09-11,374,374,350,355,65700,23839400
2013-09-10,339,368,333,350,132700,46533700
2013-09-09,340,343,323,332,73500,24540700
2013-09-06,307,312,306,312,10500,3221700
2013-09-05,313,315,310,311,12700,3958400
2013-09-04,310,315,308,313,17400,5400900
2013-09-03,302,308,302,308,10200,3105300
2013-09-02,300,302,295,302,1200,357300
2013-08-30,302,302,295,295,3100,923600
2013-08-29,293,301,290,297,6800,1996200
2013-08-28,298,298,289,292,5900,1723200
2013-08-27,297,303,296,301,6100,1829200
2013-08-26,295,303,288,303,25800,7562600
2013-08-23,300,303,295,301,8700,2586600
2013-08-22,297,298,290,293,33600,9778000
2013-08-21,297,300,296,300,1900,564300
2013-08-20,300,301,297,297,7900,2360900
2013-08-19,300,305,299,300,8400,2526200
2013-08-16,300,306,300,305,7800,2359000
2013-08-15,306,307,301,303,13900,4242100
2013-08-14,308,309,305,305,7400,2263300
2013-08-13,307,310,305,309,4600,1411600
2013-08-12,300,320,294,314,45800,13734000
2013-08-09,318,326,316,326,27000,8645700
2013-08-08,316,318,302,314,9700,3019300
2013-08-07,302,311,301,301,12500,3806800
2013-08-06,314,318,311,311,10800,3401400
2013-08-05,304,311,304,310,5200,1601100
2013-08-02,303,303,292,299,5200,1554700
2013-08-01,295,298,287,298,14100,4136600
2013-07-31,291,313,291,311,5100,1546000
2013-07-30,286,310,285,306,11500,3353500
2013-07-29,310,310,279,292,15800,4670500
2013-07-26,318,318,309,310,7500,2376500
2013-07-25,315,318,308,318,11000,3432100
2013-07-24,319,319,308,315,6500,2025600
2013-07-23,317,320,308,314,7800,2460100
2013-07-22,321,328,312,318,4300,1379200
2013-07-19,322,322,301,319,15900,4998500
2013-07-18,332,332,319,325,8900,2876600
2013-07-17,334,334,320,324,27100,8853700
2013-07-16,343,343,325,330,35700,12073600
