9735-T,東証1部,セコム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,6210,6226,6098,6132,716000,4400208400
2014-06-26,6256,6268,6208,6236,437200,2725279000
2014-06-25,6229,6270,6214,6224,369100,2300857900
2014-06-24,6276,6291,6240,6264,455100,2851423300
2014-06-23,6347,6347,6261,6278,539100,3389979600
2014-06-20,6233,6321,6233,6276,606600,3811547200
2014-06-19,6229,6338,6200,6304,938200,5903466000
2014-06-18,6197,6245,6166,6204,726400,4510474400
2014-06-17,6175,6210,6149,6155,1174100,7252587300
2014-06-16,6284,6360,6155,6174,1327700,8218735400
2014-06-13,6240,6375,6223,6360,1678300,10509150200
2014-06-12,6390,6395,6334,6355,522700,3324054700
2014-06-11,6380,6433,6360,6430,553500,3546969400
2014-06-10,6426,6465,6364,6378,464600,2976309800
2014-06-09,6498,6502,6405,6407,455000,2927616900
2014-06-06,6450,6492,6449,6470,801100,5184874700
2014-06-05,6445,6449,6392,6444,690000,4437956100
2014-06-04,6343,6417,6334,6415,742100,4743268000
2014-06-03,6360,6393,6320,6353,641200,4079882500
2014-06-02,6258,6351,6257,6330,682600,4316326900
2014-05-30,6198,6249,6189,6196,975700,6057201300
2014-05-29,6205,6239,6187,6227,369800,2298681000
2014-05-28,6270,6298,6248,6254,508200,3186663300
2014-05-27,6251,6346,6244,6273,671200,4226051800
2014-05-26,6249,6262,6200,6259,388500,2425966500
2014-05-23,6197,6241,6168,6213,509300,3164573200
2014-05-22,6170,6197,6133,6185,658800,4067286100
2014-05-21,6102,6165,6102,6127,578900,3548347900
2014-05-20,6100,6175,6053,6155,556900,3417653500
2014-05-19,6087,6100,6030,6032,419900,2540544700
2014-05-16,6025,6080,6020,6068,521700,3158417800
2014-05-15,6121,6146,6062,6114,397500,2427954800
2014-05-14,6100,6163,6091,6154,483100,2967282800
2014-05-13,6090,6122,6077,6100,697300,4252289200
2014-05-12,6000,6088,6000,6021,544700,3289849200
2014-05-09,5966,6068,5955,6029,1119300,6729984500
2014-05-08,5748,5888,5740,5879,590100,3452719100
2014-05-07,5779,5854,5743,5747,1108300,6411988900
2014-05-02,5914,5931,5840,5856,688900,4038959100
2014-05-01,5915,5988,5883,5961,642300,3822347200
2014-04-30,5893,5929,5834,5883,536700,3159694300
2014-04-28,5857,5865,5822,5856,343800,2009770700
2014-04-25,5860,5931,5820,5874,421500,2478865200
2014-04-24,5910,5928,5816,5839,554200,3244487300
2014-04-23,5941,5941,5882,5928,394500,2333665200
2014-04-22,5991,5991,5890,5890,449600,2668063400
2014-04-21,5970,6007,5947,5953,442700,2647395900
2014-04-18,5943,5975,5892,5957,615400,3657539200
2014-04-17,5799,5940,5780,5913,821900,4849785600
2014-04-16,5789,5879,5752,5865,718700,4194917400
2014-04-15,5705,5718,5650,5689,438300,2494577800
2014-04-14,5598,5663,5598,5616,543600,3059042500
2014-04-11,5559,5638,5554,5605,1909600,10648334200
2014-04-10,5858,5860,5711,5761,784400,4524664300
2014-04-09,5830,5852,5738,5764,899600,5196324800
2014-04-08,5871,5934,5841,5909,874400,5157151600
2014-04-07,5837,5901,5817,5847,614400,3593191400
2014-04-04,5864,5942,5850,5924,427000,2524828700
2014-04-03,5900,5920,5859,5878,816800,4809959200
2014-04-02,5869,5936,5845,5862,1010700,5947549400
2014-04-01,5932,5945,5836,5841,1019900,5980696200
2014-03-31,5962,5969,5842,5946,966300,5717425000
2014-03-28,5812,5945,5796,5896,908700,5345168500
2014-03-27,5691,5899,5652,5880,1309400,7579396800
2014-03-26,5881,5881,5715,5729,1255000,7240139400
2014-03-25,5792,5890,5758,5792,1042800,6072384400
2014-03-24,5638,5749,5604,5722,1218000,6949048400
2014-03-20,5712,5712,5544,5554,742300,4148796000
2014-03-19,5597,5722,5562,5645,669700,3772733800
2014-03-18,5562,5589,5530,5546,474200,2633144300
2014-03-17,5491,5550,5471,5510,526800,2900425500
2014-03-14,5649,5659,5510,5532,2510000,14112621500
2014-03-13,5786,5799,5732,5749,471300,2719661500
2014-03-12,5793,5820,5733,5735,647300,3728572300
2014-03-11,5863,5896,5822,5881,453700,2663177700
2014-03-10,5863,5899,5808,5851,473500,2768141400
2014-03-07,5865,5907,5829,5889,518300,3048518200
2014-03-06,5753,5853,5709,5820,626000,3626427400
2014-03-05,5749,5796,5721,5737,726200,4168680400
2014-03-04,5705,5747,5691,5726,584200,3341354800
2014-03-03,5716,5755,5670,5746,640900,3665041400
2014-02-28,5704,5759,5690,5737,937000,5362976200
2014-02-27,5748,5858,5722,5804,459700,2666574900
2014-02-26,5751,5841,5748,5796,507500,2942207000
2014-02-25,5846,5885,5798,5850,724200,4241180600
2014-02-24,5732,5853,5671,5746,660900,3792494700
2014-02-21,5620,5825,5605,5806,963600,5553669100
2014-02-20,5659,5665,5553,5572,760900,4259967800
2014-02-19,5507,5664,5501,5658,678100,3807650400
2014-02-18,5514,5609,5432,5579,857500,4753751500
2014-02-17,5420,5484,5374,5440,453800,2461068000
2014-02-14,5532,5600,5391,5402,1244400,6818000200
2014-02-13,5521,5644,5509,5525,688500,3833970300
2014-02-12,5645,5690,5561,5569,809900,4539353600
2014-02-10,5634,5634,5548,5610,429600,2406753600
2014-02-07,5475,5555,5444,5489,581800,3191051900
2014-02-06,5508,5542,5404,5409,684600,3724990800
2014-02-05,5410,5522,5370,5508,980600,5355265900
2014-02-04,5630,5630,5395,5399,1125700,6165949400
2014-02-03,5735,5824,5702,5706,604800,3467208200
2014-01-31,5885,5897,5755,5830,981900,5723598500
2014-01-30,5818,5857,5752,5810,1037400,6012904000
2014-01-29,5792,5916,5792,5916,850000,4991855000
2014-01-28,5740,5775,5711,5714,711700,4081696100
2014-01-27,5724,5779,5687,5738,856900,4912675000
2014-01-24,5908,5914,5815,5867,1092400,6413873300
2014-01-23,6042,6074,5957,5961,844500,5070705300
2014-01-22,5905,5999,5851,5987,1057300,6287828600
2014-01-21,5941,6018,5915,5942,699200,4168929000
2014-01-20,5905,5905,5836,5881,593400,3483120700
2014-01-17,5911,5920,5852,5893,1043600,6144174900
2014-01-16,5988,6023,5920,5937,673300,4013523100
2014-01-15,5979,5995,5903,5974,977300,5820687100
2014-01-14,5960,5980,5869,5890,1265500,7490817500
2014-01-10,6010,6050,5940,6030,1887800,11341309000
2014-01-09,6060,6080,6000,6070,876000,5295837000
2014-01-08,6060,6130,6050,6110,694700,4225164000
2014-01-07,6120,6150,6030,6040,1282300,7778172000
2014-01-06,6270,6300,6150,6180,1226600,7603387000
2013-12-30,6310,6350,6290,6340,683600,4322489000
2013-12-27,6300,6320,6230,6280,621400,3895589000
2013-12-26,6250,6290,6220,6260,654100,4095037000
2013-12-25,6170,6210,6160,6210,758200,4695864000
2013-12-24,6150,6250,6150,6170,1061100,6573788000
2013-12-20,6100,6150,6080,6140,893700,5464166000
2013-12-19,6130,6200,6120,6190,1425300,8799077000
2013-12-18,6000,6060,5970,6050,1381900,8334345000
2013-12-17,5990,6000,5940,5970,562000,3357392000
2013-12-16,6090,6120,5910,5910,651200,3889570000
2013-12-13,5990,6090,5950,6050,3083900,18528449000
2013-12-12,6010,6030,5970,6000,724500,4344219000
2013-12-11,6020,6060,5970,6040,702100,4231520000
2013-12-10,6110,6130,6060,6090,664600,4046358000
2013-12-09,6130,6150,6060,6140,929000,5685088000
2013-12-06,5920,6020,5920,5990,908900,5422454000
2013-12-05,6070,6150,5930,5930,1322900,7955761000
2013-12-04,6180,6230,6100,6120,1384700,8530599000
2013-12-03,6400,6430,6330,6380,1038500,6633707000
2013-12-02,6310,6350,6300,6330,400900,2535857000
2013-11-29,6330,6340,6220,6320,698000,4398092000
2013-11-28,6300,6350,6290,6350,761000,4817861000
2013-11-27,6200,6260,6190,6240,614200,3827569000
2013-11-26,6310,6370,6280,6300,584700,3687333000
2013-11-25,6360,6410,6360,6400,678600,4337930000
2013-11-22,6390,6410,6270,6330,1159000,7368247000
2013-11-21,6290,6400,6280,6380,936500,5950534000
2013-11-20,6280,6320,6200,6210,527400,3296799000
