9749-T,東証1部,富士ソフト,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2205,2235,2195,2228,84900,188145900
2014-06-26,2190,2212,2188,2205,79100,173991600
2014-06-25,2230,2249,2183,2202,60800,134438300
2014-06-24,2226,2247,2201,2241,33800,75317800
2014-06-23,2234,2254,2220,2227,46500,103913100
2014-06-20,2288,2288,2223,2230,71800,161130100
2014-06-19,2270,2289,2252,2288,72000,163698900
2014-06-18,2269,2276,2236,2257,95600,216104800
2014-06-17,2218,2265,2168,2237,148400,330186800
2014-06-16,2201,2314,2175,2193,194200,436397800
2014-06-13,2117,2168,2113,2151,71300,151827100
2014-06-12,2125,2159,2101,2156,40300,85920700
2014-06-11,2151,2165,2125,2148,36400,78122800
2014-06-10,2230,2230,2147,2160,53300,116250800
2014-06-09,2223,2223,2163,2189,38400,84053500
2014-06-06,2172,2226,2171,2223,87000,191881000
2014-06-05,2164,2180,2138,2173,39800,86260300
2014-06-04,2154,2165,2136,2163,10500,22612700
2014-06-03,2183,2183,2145,2158,17100,36972400
2014-06-02,2103,2157,2099,2150,43900,93659500
2014-05-30,2167,2167,2089,2089,67200,142318100
2014-05-29,2127,2155,2116,2144,22800,48707100
2014-05-28,2173,2173,2144,2147,34800,75145300
2014-05-27,2141,2183,2141,2173,31100,67469800
2014-05-26,2139,2160,2127,2159,24600,52778800
2014-05-23,2118,2143,2105,2120,41900,89162400
2014-05-22,2072,2120,2062,2103,31900,66660500
2014-05-21,2045,2080,2005,2062,32300,66587100
2014-05-20,2056,2075,2035,2052,22600,46465100
2014-05-19,2049,2067,2025,2025,35000,71527400
2014-05-16,2051,2053,2017,2032,33600,68380100
2014-05-15,2027,2069,2026,2058,25100,51374000
2014-05-14,2033,2081,2023,2052,35100,72245400
2014-05-13,2021,2082,2021,2059,31200,64157400
2014-05-12,2100,2105,2011,2017,51700,105412600
2014-05-09,2084,2112,2081,2104,31500,66131700
2014-05-08,2048,2102,2038,2084,44200,91645500
2014-05-07,2126,2129,2035,2035,71100,147140100
2014-05-02,2164,2182,2150,2176,39900,86631800
2014-05-01,2147,2167,2142,2164,66800,144040400
2014-04-30,2135,2149,2116,2136,67600,144351000
2014-04-28,2074,2148,2074,2112,31300,65804800
2014-04-25,2111,2130,2083,2101,36100,76161900
2014-04-24,2078,2124,2078,2096,48800,102660200
2014-04-23,2126,2144,2070,2077,66500,138865300
2014-04-22,2123,2173,2122,2125,78500,168642300
2014-04-21,2120,2138,2106,2112,43800,92886800
2014-04-18,2100,2130,2086,2125,82900,175694600
2014-04-17,2100,2104,2076,2080,69800,145935200
2014-04-16,2017,2078,2014,2078,64200,131977500
2014-04-15,2037,2038,1985,1993,121400,242664400
2014-04-14,1998,2044,1998,2018,70400,142623300
2014-04-11,2000,2042,1992,2011,94400,190274500
2014-04-10,2052,2119,2019,2041,114000,233880700
2014-04-09,2020,2052,2017,2019,100900,205027500
2014-04-08,2107,2126,2061,2062,88700,184673700
2014-04-07,2147,2153,2107,2107,55000,116691300
2014-04-04,2187,2198,2143,2165,98400,213360000
2014-04-03,2247,2250,2197,2199,91400,202830200
2014-04-02,2248,2264,2216,2219,120100,269081700
2014-04-01,2234,2278,2220,2250,150100,338181500
2014-03-31,2119,2200,2116,2197,172600,376566600
2014-03-28,2104,2138,2057,2101,218900,457971700
2014-03-27,2095,2152,2084,2142,109100,231320700
2014-03-26,2156,2186,2120,2133,135800,290877800
2014-03-25,2250,2320,2148,2155,242200,539304500
2014-03-24,2121,2224,2121,2204,157400,346080400
2014-03-20,2215,2228,2116,2130,200000,431706900
2014-03-19,2188,2209,2162,2177,124900,272948200
2014-03-18,2090,2160,2080,2146,136900,291973200
2014-03-17,2100,2151,2059,2070,153900,322456500
2014-03-14,2140,2150,2058,2068,219300,460424600
2014-03-13,2195,2255,2192,2213,185300,412170500
2014-03-12,2161,2195,2155,2188,157500,344108200
2014-03-11,2195,2195,2138,2162,223100,483187900
2014-03-10,2197,2228,2197,2214,160400,355442800
2014-03-07,2170,2201,2161,2197,127100,277862400
2014-03-06,2153,2165,2108,2149,139300,298685500
2014-03-05,2118,2146,2114,2124,127800,272256000
2014-03-04,2000,2077,2000,2068,122500,252160600
2014-03-03,1990,2014,1971,2006,146200,291516300
2014-02-28,2096,2104,2058,2079,108100,224642800
2014-02-27,2073,2137,2065,2098,166700,351341300
2014-02-26,2091,2091,2043,2070,86400,178765400
2014-02-25,2100,2138,2078,2118,135800,287044200
2014-02-24,2030,2075,1996,2060,153300,313829500
2014-02-21,2008,2056,1998,2039,129900,263738500
2014-02-20,2105,2105,1976,1986,275700,557041400
2014-02-19,2115,2167,2104,2142,218200,467167100
2014-02-18,2055,2111,2040,2106,230800,481668500
2014-02-17,2051,2084,2023,2072,299000,612649200
2014-02-14,2120,2181,2056,2151,473400,1003616800
2014-02-13,2400,2401,2340,2356,48300,114543000
2014-02-12,2410,2412,2355,2372,114300,272017600
2014-02-10,2419,2440,2402,2408,47500,114919200
2014-02-07,2373,2393,2350,2378,45200,107180800
2014-02-06,2336,2412,2307,2361,94200,223260800
2014-02-05,2239,2346,2239,2336,104700,240006000
2014-02-04,2258,2283,2209,2222,92500,207432800
2014-02-03,2388,2425,2335,2344,56100,132785600
2014-01-31,2371,2422,2353,2394,61100,145869500
2014-01-30,2393,2399,2342,2360,65700,155318000
2014-01-29,2361,2443,2361,2442,64300,155387300
2014-01-28,2340,2398,2338,2343,111000,262568100
2014-01-27,2360,2401,2344,2346,100200,237259000
2014-01-24,2424,2455,2408,2428,77100,187645000
2014-01-23,2499,2524,2475,2475,89900,224372400
2014-01-22,2494,2533,2490,2509,136400,342409600
2014-01-21,2500,2534,2490,2522,85600,215844400
2014-01-20,2492,2506,2465,2491,65000,161915500
2014-01-17,2484,2519,2478,2501,78600,196850300
2014-01-16,2477,2508,2474,2485,155800,388814100
2014-01-15,2471,2502,2469,2497,108300,269544700
2014-01-14,2441,2481,2413,2467,134100,329634800
2014-01-10,2479,2508,2467,2502,191800,478350200
2014-01-09,2519,2525,2453,2505,130200,324938600
2014-01-08,2448,2507,2445,2507,74500,184766400
2014-01-07,2433,2465,2418,2443,94700,230407100
2014-01-06,2400,2485,2355,2477,114300,280253600
2013-12-30,2420,2427,2383,2415,84000,202464900
2013-12-27,2383,2417,2349,2416,99700,238297600
2013-12-26,2350,2392,2340,2384,129700,308664900
2013-12-25,2315,2341,2267,2339,158500,368180600
2013-12-24,2250,2340,2245,2328,182200,421317200
2013-12-20,2207,2231,2196,2228,89300,198366000
2013-12-19,2258,2281,2180,2205,136800,304468700
2013-12-18,2256,2284,2256,2272,106200,241057400
2013-12-17,2249,2286,2237,2281,78800,178499800
2013-12-16,2258,2278,2217,2229,48300,108377800
2013-12-13,2279,2305,2251,2281,142000,323795300
2013-12-12,2292,2296,2270,2291,67300,153801900
2013-12-11,2285,2305,2270,2297,64900,148687700
2013-12-10,2300,2307,2266,2301,129400,296525800
2013-12-09,2297,2300,2274,2288,69000,157764700
2013-12-06,2235,2275,2217,2270,118800,267257900
2013-12-05,2250,2276,2216,2238,110800,249564800
2013-12-04,2241,2241,2171,2216,86800,192223800
2013-12-03,2289,2289,2227,2245,75500,169812100
2013-12-02,2251,2275,2231,2270,54700,123492900
2013-11-29,2206,2245,2205,2236,54800,122399500
2013-11-28,2224,2252,2195,2218,95900,212209600
2013-11-27,2235,2254,2207,2222,62100,138761600
2013-11-26,2271,2274,2225,2231,100000,224040800
2013-11-25,2270,2303,2251,2300,75800,173036600
2013-11-22,2250,2270,2230,2247,80000,179914600
2013-11-21,2220,2238,2204,2234,56300,125260400
2013-11-20,2199,2215,2194,2208,66300,146050500
2013-11-19,2169,2205,2154,2197,195700,427364300
2013-11-18,2205,2239,2175,2181,86400,189327700
2013-11-15,2155,2214,2153,2200,158900,347653800
2013-11-14,2107,2161,2101,2142,116300,248447300
2013-11-13,2123,2129,2078,2085,167400,350399500
2013-11-12,2100,2143,2050,2122,127500,269624400
2013-11-11,2080,2130,2064,2086,121100,253062700
2013-11-08,2081,2085,2050,2077,142600,295470000
2013-11-07,2074,2091,1964,2088,288000,595345300
2013-11-06,1907,2004,1906,1989,219800,433952700
2013-11-05,1947,1949,1882,1907,112300,213499300
2013-11-01,1949,1950,1904,1914,95400,183270900
2013-10-31,1970,1978,1943,1952,90900,178215700
2013-10-30,1984,1994,1955,1991,203400,402668200
2013-10-29,1947,1982,1921,1970,143300,281499800
2013-10-28,1930,1955,1891,1948,139300,269874900
2013-10-25,1970,1974,1905,1907,139800,269935400
2013-10-24,1923,1978,1902,1967,72400,140507100
2013-10-23,1950,1973,1933,1936,101200,197614500
2013-10-22,1949,1955,1929,1935,75500,146382100
2013-10-21,1940,1955,1918,1938,77800,150331100
2013-10-18,1934,1962,1921,1937,210100,407943100
2013-10-17,1880,1945,1879,1940,191300,368445300
2013-10-16,1863,1880,1858,1869,105700,197298100
2013-10-15,1832,1877,1830,1860,147100,273436900
2013-10-11,1800,1829,1785,1810,115300,208402100
2013-10-10,1763,1789,1757,1779,105800,187658200
2013-10-09,1758,1772,1752,1772,84100,148264400
2013-10-08,1764,1794,1721,1786,78900,138719700
2013-10-07,1811,1833,1783,1783,44600,80190000
2013-10-04,1812,1835,1800,1826,63900,116386000
2013-10-03,1827,1848,1812,1837,76900,141050000
2013-10-02,1858,1880,1803,1827,85300,156344100
2013-10-01,1855,1897,1846,1858,79200,148643000
2013-09-30,1870,1874,1834,1857,40400,74978000
2013-09-27,1830,1878,1818,1872,78800,146204700
2013-09-26,1801,1829,1783,1827,43600,78697400
2013-09-25,1815,1816,1786,1814,44400,80075700
2013-09-24,1791,1819,1788,1814,76800,138368900
2013-09-20,1821,1828,1801,1814,58800,106778200
2013-09-19,1784,1819,1782,1814,80500,145242000
2013-09-18,1823,1823,1776,1779,80900,145187700
2013-09-17,1753,1799,1746,1793,141100,251558100
2013-09-13,1771,1781,1742,1749,121600,214166000
2013-09-12,1808,1810,1783,1795,50800,91238000
2013-09-11,1816,1834,1793,1799,64400,116559400
2013-09-10,1783,1799,1760,1796,65700,117342400
2013-09-09,1800,1800,1740,1765,34200,60095700
2013-09-06,1734,1747,1700,1744,58600,101257500
2013-09-05,1751,1761,1720,1727,52500,91027700
2013-09-04,1740,1758,1714,1750,61500,106718000
2013-09-03,1726,1744,1708,1740,64100,110857700
2013-09-02,1664,1706,1661,1688,53600,90564300
2013-08-30,1732,1732,1665,1670,74500,125431700
2013-08-29,1723,1736,1700,1705,68800,117932000
2013-08-28,1760,1775,1738,1740,35500,62138700
2013-08-27,1806,1825,1789,1797,46100,83180900
2013-08-26,1819,1819,1790,1804,33300,60005000
2013-08-23,1834,1834,1809,1819,27400,49961100
2013-08-22,1789,1812,1779,1809,37400,67290600
2013-08-21,1832,1832,1764,1782,71600,127920200
2013-08-20,1824,1876,1824,1833,74100,137384400
2013-08-19,1852,1873,1830,1836,37200,68453100
2013-08-16,1850,1869,1830,1852,28900,53551200
2013-08-15,1897,1897,1853,1866,29300,54781200
2013-08-14,1880,1909,1866,1902,41700,78814600
2013-08-13,1843,1871,1828,1868,37300,68884700
2013-08-12,1857,1863,1825,1828,31700,58362000
2013-08-09,1868,1887,1861,1867,39700,74332800
2013-08-08,1871,1902,1861,1865,69000,129542100
2013-08-07,1904,1925,1878,1879,70400,133408300
2013-08-06,1900,1977,1899,1971,48600,94414900
2013-08-05,1954,1955,1899,1916,53200,101823800
2013-08-02,1907,1955,1890,1954,55700,107462300
2013-08-01,1861,1911,1831,1906,106900,201020700
2013-07-31,1871,1939,1845,1846,89300,166297500
2013-07-30,1864,1915,1864,1908,60100,114033200
2013-07-29,1946,1946,1886,1888,41600,79584500
2013-07-26,1980,1985,1946,1948,92400,181521100
2013-07-25,2020,2043,1992,2001,79200,159248200
2013-07-24,1995,2020,1980,2015,63400,126840700
2013-07-23,1996,2023,1984,1997,66400,132998400
2013-07-22,2002,2029,1992,2011,60000,120313000
2013-07-19,2020,2040,1991,2002,121400,243682700
2013-07-18,2011,2025,1993,2019,85000,170876500
2013-07-17,1995,2036,1995,2025,66700,134695200
2013-07-16,2039,2050,1985,1997,127700,256511100
2013-07-12,1993,2050,1981,2028,96600,195469300
2013-07-11,2036,2066,1994,2002,111700,225458100
2013-07-10,2090,2122,2067,2077,82700,173036500
2013-07-09,2100,2104,2066,2087,65100,135738100
2013-07-08,2139,2147,2071,2071,76700,161438400
2013-07-05,2084,2116,2073,2112,34900,73190800
2013-07-04,2049,2082,2049,2062,57300,118383900
2013-07-03,2065,2103,2038,2076,103500,215305600
2013-07-02,2049,2056,2027,2051,108700,221960200
2013-07-01,2073,2074,2011,2039,128800,261573500
2013-06-28,2006,2090,1989,2085,115200,236406400
2013-06-27,1944,1999,1925,1977,106700,210086900
2013-06-26,1950,1971,1907,1933,55600,108378500
2013-06-25,1998,1998,1913,1946,46000,89539900
2013-06-24,1996,2015,1969,1977,29700,58995400
2013-06-21,1906,1978,1876,1960,67000,129395100
