9783-T,東証1部,ベネッセHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,4365,4380,4330,4365,360700,1573905000
2014-06-26,4310,4375,4220,4360,339500,1473140500
2014-06-25,4300,4355,4295,4295,265800,1146456000
2014-06-24,4325,4350,4300,4320,319800,1382687500
2014-06-23,4370,4375,4315,4320,237300,1028637000
2014-06-20,4380,4405,4355,4370,366000,1600172500
2014-06-19,4410,4430,4375,4390,426400,1875584000
2014-06-18,4425,4465,4400,4435,221500,982808500
2014-06-17,4400,4445,4330,4425,451200,1990243000
2014-06-16,4445,4450,4395,4415,220900,977202000
2014-06-13,4430,4465,4400,4450,485100,2151543500
2014-06-12,4375,4415,4320,4410,315300,1381954500
2014-06-11,4265,4380,4250,4380,334400,1449620000
2014-06-10,4265,4305,4245,4260,272200,1162116500
2014-06-09,4300,4345,4260,4265,223800,959501000
2014-06-06,4270,4300,4260,4290,201800,865061500
2014-06-05,4215,4285,4205,4265,261900,1113879000
2014-06-04,4275,4285,4245,4280,270600,1155472500
2014-06-03,4310,4315,4255,4280,271600,1162708000
2014-06-02,4285,4335,4265,4320,285900,1231646500
2014-05-30,4225,4295,4215,4265,560300,2389856500
2014-05-29,4170,4265,4170,4235,182500,772720500
2014-05-28,4175,4240,4130,4210,309700,1301498500
2014-05-27,4235,4260,4210,4210,306900,1298850000
2014-05-26,4190,4265,4165,4260,301100,1272194000
2014-05-23,4165,4180,4135,4170,208700,868651500
2014-05-22,4130,4170,4100,4165,212000,878377500
2014-05-21,4075,4130,4060,4115,316700,1300690500
2014-05-20,4035,4105,3975,4085,279800,1138452000
2014-05-19,4055,4115,4040,4045,165300,673151500
2014-05-16,4070,4075,4015,4060,191200,774730000
2014-05-15,4050,4110,4025,4110,241200,981651000
2014-05-14,4055,4125,4035,4120,235800,966347500
2014-05-13,4100,4120,4060,4085,179600,734389000
2014-05-12,4065,4140,4050,4075,304100,1244936500
2014-05-09,4045,4080,4030,4050,301600,1223585500
2014-05-08,3900,4050,3885,4045,416800,1668308000
2014-05-07,3940,3950,3890,3930,479200,1878661500
2014-05-02,3920,3970,3900,3920,349400,1373868000
2014-05-01,3750,3965,3720,3895,909900,3503505000
2014-04-30,3870,3895,3840,3885,243200,940891500
2014-04-28,3845,3865,3830,3855,118400,454764500
2014-04-25,3875,3920,3850,3885,217800,845159000
2014-04-24,3895,3905,3835,3875,248000,958931000
2014-04-23,3930,3950,3875,3910,174400,680975000
2014-04-22,3910,3950,3870,3880,149000,580463500
2014-04-21,3960,3990,3910,3935,97400,384116000
2014-04-18,3950,3985,3920,3975,181300,717287500
2014-04-17,3870,4045,3845,3925,371300,1466247000
2014-04-16,3825,3865,3810,3845,319300,1225462000
2014-04-15,3885,3935,3800,3805,266000,1018059000
2014-04-14,3860,3985,3860,3885,319700,1257418000
2014-04-11,3835,3880,3800,3850,294000,1130557500
2014-04-10,3950,3970,3860,3880,355500,1389578000
2014-04-09,3970,3985,3920,3970,463100,1831848000
2014-04-08,4025,4060,3995,4050,570700,2301942000
2014-04-07,3945,4035,3925,4015,447000,1791456000
2014-04-04,3915,3950,3905,3950,338800,1331724000
2014-04-03,3940,3945,3870,3890,316800,1234212000
2014-04-02,3905,3925,3850,3870,338600,1312967000
2014-04-01,3880,3890,3810,3830,373200,1431384500
2014-03-31,3945,3965,3865,3945,424300,1662989500
2014-03-28,3870,3990,3870,3985,686000,2709090000
2014-03-27,3900,3940,3765,3820,703600,2693309500
2014-03-26,3885,3940,3845,3875,651600,2531160500
2014-03-25,3955,3990,3810,3815,782800,3054914000
2014-03-24,3675,3795,3675,3770,524200,1964652000
2014-03-20,3705,3715,3605,3605,655300,2379777500
2014-03-19,3790,3800,3730,3735,254100,953884500
2014-03-18,3755,3800,3750,3785,272000,1028466000
2014-03-17,3770,3770,3675,3685,270700,1003637500
2014-03-14,3815,3820,3740,3745,371700,1405800000
2014-03-13,3910,3910,3865,3885,129600,503625000
2014-03-12,3920,3925,3885,3885,151700,591506000
2014-03-11,3965,3990,3915,3965,217500,860753500
2014-03-10,3945,3965,3875,3940,269100,1054301000
2014-03-07,3975,3980,3920,3950,174100,687126500
2014-03-06,3910,3950,3885,3930,205400,805370000
2014-03-05,3870,3935,3870,3935,241900,946449500
2014-03-04,3795,3850,3775,3845,194500,742460000
2014-03-03,3810,3820,3750,3815,241400,912868000
2014-02-28,3855,3855,3795,3825,290100,1107072000
2014-02-27,3875,3895,3860,3880,130100,504629000
2014-02-26,3895,3915,3870,3880,105600,410496500
2014-02-25,3915,3940,3885,3935,175200,686523500
2014-02-24,3850,3895,3825,3860,145500,560789000
2014-02-21,3890,3895,3825,3855,227200,875303000
2014-02-20,3855,3900,3825,3845,230900,890234500
2014-02-19,3830,3895,3810,3895,312000,1204424500
2014-02-18,3770,3835,3745,3825,305900,1162988000
2014-02-17,3755,3825,3750,3805,237400,899624000
2014-02-14,3800,3820,3750,3760,315000,1189680000
2014-02-13,3885,3885,3805,3810,270000,1037185500
2014-02-12,3845,3905,3825,3865,402900,1557024000
2014-02-10,3965,4020,3785,3800,587300,2274606500
2014-02-07,3830,3860,3810,3840,195700,750010000
2014-02-06,3880,3880,3820,3820,183800,706380500
2014-02-05,3830,3935,3795,3835,273700,1049908000
2014-02-04,3925,3945,3790,3790,365000,1406014000
2014-02-03,4045,4095,4020,4020,221600,898195500
2014-01-31,4035,4070,4005,4045,205900,831333500
2014-01-30,4100,4100,4010,4045,233400,945209000
2014-01-29,4060,4170,4060,4170,175000,723097500
2014-01-28,4020,4070,4000,4040,218900,884631000
2014-01-27,4020,4020,3980,3985,160400,641108000
2014-01-24,4035,4085,4025,4055,214100,868136000
2014-01-23,4180,4190,4015,4060,337100,1373524500
2014-01-22,4175,4210,4155,4180,135200,565134500
2014-01-21,4210,4250,4200,4205,110900,468497000
2014-01-20,4160,4215,4160,4200,88600,371452000
2014-01-17,4190,4235,4175,4185,174800,734020000
2014-01-16,4215,4260,4185,4230,152700,646675500
2014-01-15,4220,4220,4135,4195,199400,832078500
2014-01-14,4190,4245,4160,4220,330800,1394911000
2014-01-10,4150,4165,4090,4150,256800,1060956000
2014-01-09,4195,4210,4165,4190,145900,610159500
2014-01-08,4170,4200,4155,4200,136400,569946500
2014-01-07,4140,4160,4115,4135,121300,501522500
2014-01-06,4200,4200,4105,4135,307900,1272806000
2013-12-30,4055,4260,4045,4225,527400,2209932000
2013-12-27,4000,4040,3990,4035,136300,548003500
2013-12-26,3950,4010,3925,4005,130400,520980500
2013-12-25,3965,3965,3920,3945,114300,450743000
2013-12-24,3995,4010,3950,3960,242600,965342000
2013-12-20,3980,3990,3960,3985,269600,1072706500
2013-12-19,3925,3985,3920,3985,278800,1104684000
2013-12-18,3975,3985,3905,3935,422100,1662193500
2013-12-17,3885,3970,3885,3970,503800,1985419000
2013-12-16,3890,3895,3845,3865,127700,493490000
