9795-T,東証1部,ステップ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,795,795,791,792,6500,5151600
2014-06-26,787,795,787,793,6000,4751600
2014-06-25,797,804,789,793,17200,13691200
2014-06-24,797,805,797,801,30100,24095600
2014-06-23,800,805,797,799,39100,31288700
2014-06-20,813,813,802,806,10300,8299100
2014-06-19,800,810,800,808,21800,17543700
2014-06-18,813,814,808,813,9300,7547700
2014-06-17,804,814,804,811,15100,12220900
2014-06-16,796,803,793,800,21000,16778200
2014-06-13,786,791,785,790,17500,13776000
2014-06-12,781,786,780,784,7200,5631400
2014-06-11,778,783,778,783,12500,9764600
2014-06-10,774,780,772,776,10100,7838100
2014-06-09,774,775,768,771,9500,7325300
2014-06-06,773,773,767,773,7100,5476400
2014-06-05,768,773,765,770,4700,3612400
2014-06-04,767,772,763,767,9600,7369000
2014-06-03,766,771,760,768,12700,9724600
2014-06-02,760,765,750,764,22600,17186600
2014-05-30,760,760,756,759,5500,4172700
2014-05-29,752,759,745,758,5800,4373600
2014-05-28,759,760,751,756,5800,4391400
2014-05-27,755,759,746,759,8600,6477300
2014-05-26,752,753,743,752,11600,8683400
2014-05-23,741,749,740,746,17600,13079800
2014-05-22,750,750,743,745,4500,3358800
2014-05-21,730,744,730,742,19100,14096600
2014-05-20,745,750,742,742,6200,4616400
2014-05-19,748,748,741,741,6200,4613500
2014-05-16,746,752,734,742,32400,24047600
2014-05-15,744,748,737,742,15400,11433800
2014-05-14,746,753,745,745,11800,8830800
2014-05-13,741,749,741,748,8800,6558600
2014-05-12,742,747,739,742,9500,7057600
2014-05-09,740,754,740,746,5500,4110200
2014-05-08,743,749,740,745,11800,8790200
2014-05-07,755,759,735,750,20000,15002100
2014-05-02,758,763,758,760,9900,7522300
2014-05-01,760,767,756,764,16300,12418600
2014-04-30,765,765,750,756,28500,21614000
2014-04-28,750,760,748,750,29500,22176200
2014-04-25,750,757,750,753,9700,7296600
2014-04-24,753,755,750,752,6900,5191300
2014-04-23,753,756,752,753,5200,3915800
2014-04-22,753,757,753,753,4100,3095000
2014-04-21,765,765,753,753,6300,4791900
2014-04-18,761,761,753,756,4700,3548500
2014-04-17,742,761,742,758,10600,7980500
2014-04-16,740,750,740,750,9900,7396100
2014-04-15,735,744,735,740,10400,7699400
2014-04-14,740,742,735,737,10200,7531000
2014-04-11,730,735,729,731,14300,10462900
2014-04-10,741,743,735,735,8900,6573000
2014-04-09,741,741,734,734,21600,15912900
2014-04-08,736,747,736,741,17500,12970500
2014-04-07,736,749,736,743,16400,12164100
2014-04-04,751,751,745,749,22100,16526100
2014-04-03,749,751,744,749,22800,17038800
2014-04-02,750,753,738,750,28300,21151300
2014-04-01,737,760,735,754,45500,33898400
2014-03-31,740,741,725,733,23700,17295900
2014-03-28,730,739,724,737,16200,11833500
2014-03-27,733,744,720,732,33600,24399400
2014-03-26,751,751,741,747,27500,20485500
2014-03-25,750,751,746,750,23600,17670600
2014-03-24,745,756,745,746,13900,10415900
2014-03-20,751,753,741,745,15900,11888700
2014-03-19,756,760,751,752,23100,17440300
2014-03-18,758,766,756,759,9500,7219300
2014-03-17,765,771,754,758,17000,12940200
2014-03-14,775,776,767,767,27800,21475600
2014-03-13,789,789,782,784,3100,2432400
2014-03-12,784,785,780,782,12800,9999000
2014-03-11,790,790,784,788,2800,2206000
2014-03-10,789,790,787,788,4300,3389600
2014-03-07,786,790,783,787,7000,5499600
2014-03-06,778,790,778,785,6200,4856900
2014-03-05,793,793,783,786,3800,2990800
2014-03-04,785,792,778,791,8100,6366700
2014-03-03,785,791,778,785,12000,9402600
2014-02-28,796,796,777,785,10000,7841200
2014-02-27,786,793,786,790,9900,7820700
2014-02-26,788,794,783,787,12000,9469000
2014-02-25,789,794,786,789,14100,11131400
2014-02-24,788,792,779,781,15700,12306600
2014-02-21,789,794,780,788,10800,8515700
2014-02-20,780,783,778,779,6600,5148900
2014-02-19,789,789,779,783,7600,5952700
2014-02-18,783,791,777,789,8400,6599500
2014-02-17,778,784,775,783,8300,6471200
2014-02-14,783,785,775,780,11700,9116200
2014-02-13,800,800,775,783,25800,20314200
2014-02-12,799,809,789,800,13500,10784500
2014-02-10,781,808,775,793,14400,11350800
2014-02-07,777,780,772,773,10400,8059600
2014-02-06,768,772,766,768,11400,8759500
2014-02-05,773,775,765,766,20400,15654900
2014-02-04,780,783,760,762,32900,25239000
2014-02-03,795,806,794,794,12500,9998600
2014-01-31,810,810,797,801,17400,13983700
2014-01-30,799,805,791,803,13700,10916400
2014-01-29,807,817,801,805,8900,7178800
2014-01-28,792,806,792,792,11300,9023000
2014-01-27,806,806,791,791,16500,13191300
2014-01-24,814,821,808,809,21300,17304500
2014-01-23,840,841,819,821,16700,13837100
2014-01-22,836,843,836,837,4300,3603300
2014-01-21,835,842,832,840,13700,11459500
2014-01-20,830,835,827,834,10400,8638800
2014-01-17,832,833,827,832,10100,8402400
2014-01-16,829,830,812,827,16800,13849900
2014-01-15,830,830,818,828,15200,12512300
2014-01-14,834,834,818,826,15500,12778400
2014-01-10,832,835,825,834,10200,8481300
2014-01-09,834,835,830,832,7000,5826800
2014-01-08,833,833,826,830,7800,6473100
2014-01-07,826,833,825,827,8700,7205600
2014-01-06,820,830,816,824,34900,28732800
2013-12-30,809,824,808,818,22700,18517000
2013-12-27,801,807,797,805,13600,10908200
2013-12-26,776,801,776,794,26200,20767300
2013-12-25,767,780,765,775,93700,72441300
2013-12-24,781,785,765,771,64800,50246900
2013-12-20,784,787,776,780,35200,27482600
2013-12-19,793,794,785,788,36600,28902800
2013-12-18,790,797,789,791,28600,22669100
2013-12-17,793,801,793,794,24900,19813100
2013-12-16,810,810,797,802,37200,29994600
2013-12-13,805,817,803,810,38900,31432900
2013-12-12,810,812,803,811,30100,24346600
2013-12-11,817,819,813,813,27100,22111000
2013-12-10,816,821,816,819,25700,20988200
2013-12-09,819,826,814,820,20300,16595900
2013-12-06,820,823,818,818,11000,9026200
2013-12-05,820,825,820,821,31800,26096700
2013-12-04,830,834,824,824,30100,24937600
2013-12-03,830,833,829,831,34000,28237400
2013-12-02,834,835,831,833,16700,13915700
2013-11-29,833,833,830,833,6100,5072100
2013-11-28,831,833,829,830,10000,8306600
2013-11-27,834,834,831,832,25200,20998200
2013-11-26,835,835,830,834,33900,28274500
2013-11-25,832,834,831,834,12400,10318400
2013-11-22,830,835,830,832,12500,10409700
2013-11-21,834,835,832,835,9500,7922000
2013-11-20,832,835,830,833,14300,11904200
2013-11-19,835,839,830,832,11500,9600800
2013-11-18,826,837,826,834,10200,8482300
2013-11-15,840,840,823,824,27100,22408700
2013-11-14,825,834,823,831,21900,18150900
2013-11-13,830,830,825,825,22400,18563500
2013-11-12,824,830,823,830,21100,17450000
2013-11-11,825,832,823,825,19200,15841300
2013-11-08,827,832,824,825,11100,9180500
2013-11-07,840,840,829,829,7000,5829000
2013-11-06,830,845,830,836,8800,7374300
2013-11-05,821,851,821,837,35200,29412600
2013-11-01,844,852,832,836,30900,25940400
2013-10-31,839,852,839,845,34600,29279100
2013-10-30,850,852,835,852,32000,27017200
2013-10-29,838,856,836,850,23600,19924300
2013-10-28,841,858,841,851,29100,24745200
2013-10-25,837,850,837,847,32900,27822000
2013-10-24,836,848,836,846,11300,9484000
2013-10-23,860,860,843,844,8400,7138000
2013-10-22,850,852,841,851,9800,8295200
2013-10-21,850,852,840,850,17300,14650700
2013-10-18,850,852,846,850,6500,5518900
2013-10-17,854,855,850,852,5000,4262400
2013-10-16,860,860,850,853,6000,5136800
2013-10-15,854,865,854,857,6200,5330600
2013-10-11,848,866,836,855,15700,13396800
2013-10-10,849,849,840,846,6700,5667100
2013-10-09,853,853,832,844,5200,4377400
2013-10-08,830,848,825,848,12000,10019100
2013-10-07,854,854,826,834,18900,15913700
2013-10-04,871,872,863,864,12500,10850800
2013-10-03,875,879,875,875,11100,9721000
2013-10-02,889,892,880,881,17900,15796200
2013-10-01,890,904,881,889,34300,30591700
2013-09-30,887,887,876,885,9300,8206700
2013-09-27,882,889,881,886,6100,5398000
2013-09-26,882,891,873,890,11200,9899900
2013-09-25,900,900,895,897,16100,14455900
2013-09-24,894,899,891,897,13700,12266700
2013-09-20,888,892,887,892,14200,12631700
2013-09-19,880,887,880,887,9300,8212900
2013-09-18,878,885,876,882,8700,7652600
2013-09-17,883,884,878,881,11700,10312200
2013-09-13,878,882,876,882,14800,13004600
2013-09-12,877,884,875,878,3100,2726800
2013-09-11,874,885,873,877,11600,10182500
2013-09-10,879,880,873,878,5000,4387000
2013-09-09,875,882,871,879,13300,11630700
2013-09-06,871,875,867,873,9200,8008800
