9835-T,東証2部,ジュンテント,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,127,127,127,127,1000,127000
2014-06-25,-,-,-,-,0,0
2014-06-24,-,-,-,-,0,0
2014-06-23,127,128,127,128,4000,509000
2014-06-20,128,128,128,128,1000,128000
2014-06-19,128,128,128,128,2000,256000
2014-06-18,128,128,128,128,1000,128000
2014-06-17,128,128,126,126,9000,1140000
2014-06-16,127,128,127,128,6000,766000
2014-06-13,126,127,126,127,4000,507000
2014-06-12,126,126,125,125,8000,1003000
2014-06-11,-,-,-,-,0,0
2014-06-10,128,128,127,127,43000,5502000
2014-06-09,129,129,128,128,23000,2962000
2014-06-06,127,129,127,129,3000,385000
2014-06-05,127,128,127,128,6000,764000
2014-06-04,127,127,127,127,13000,1651000
2014-06-03,127,127,126,127,14000,1777000
2014-06-02,126,127,126,127,2000,253000
2014-05-30,126,126,126,126,1000,126000
2014-05-29,126,126,126,126,3000,378000
2014-05-28,126,126,125,126,37000,4639000
2014-05-27,129,129,129,129,8000,1032000
2014-05-26,125,125,125,125,1000,125000
2014-05-23,125,125,125,125,5000,625000
2014-05-22,-,-,-,-,0,0
2014-05-21,128,129,128,129,12000,1545000
2014-05-20,127,127,127,127,1000,127000
2014-05-19,-,-,-,-,0,0
2014-05-16,127,127,127,127,1000,127000
2014-05-15,124,124,124,124,2000,248000
2014-05-14,-,-,-,-,0,0
2014-05-13,126,126,125,125,5000,628000
2014-05-12,126,126,126,126,1000,126000
2014-05-09,127,128,126,126,16000,2029000
2014-05-08,127,128,127,128,6000,764000
2014-05-07,126,126,126,126,5000,630000
2014-05-02,129,129,128,128,10000,1287000
2014-05-01,128,129,128,129,2000,257000
2014-04-30,128,128,128,128,1000,128000
2014-04-28,127,127,127,127,1000,127000
2014-04-25,126,126,126,126,1000,126000
2014-04-24,126,126,126,126,5000,630000
2014-04-23,126,126,126,126,6000,756000
2014-04-22,127,127,126,126,2000,253000
2014-04-21,128,128,126,126,3000,381000
2014-04-18,130,130,126,126,2000,256000
2014-04-17,-,-,-,-,0,0
2014-04-16,-,-,-,-,0,0
2014-04-15,-,-,-,-,0,0
2014-04-14,-,-,-,-,0,0
2014-04-11,128,128,128,128,4000,512000
2014-04-10,131,132,128,128,15000,1963000
2014-04-09,129,129,128,128,8000,1026000
2014-04-08,128,128,128,128,1000,128000
2014-04-07,129,129,129,129,1000,129000
2014-04-04,130,130,128,129,5000,643000
2014-04-03,130,130,130,130,6000,780000
2014-04-02,130,133,130,133,10000,1315000
2014-04-01,130,131,130,131,4000,522000
2014-03-31,130,131,130,131,2000,261000
2014-03-28,-,-,-,-,0,0
2014-03-27,129,129,129,129,2000,258000
2014-03-26,129,129,129,129,4000,516000
2014-03-25,129,129,129,129,1000,129000
