9846-T,東証2部,天満屋ス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,950,950,945,945,2200,2084500
2014-06-26,946,953,946,953,1200,1139700
2014-06-25,950,950,948,949,900,854300
2014-06-24,950,950,949,949,800,759700
2014-06-23,946,950,946,950,900,853900
2014-06-20,950,950,946,946,700,664300
2014-06-19,950,950,949,949,1400,1329900
2014-06-18,953,953,931,944,5800,5454000
2014-06-17,950,951,943,943,2300,2181800
2014-06-16,944,951,944,945,1900,1796800
2014-06-13,945,953,944,949,10800,10212400
2014-06-12,954,954,949,954,3100,2951600
2014-06-11,950,951,949,949,3100,2945000
2014-06-10,955,955,950,950,2600,2479200
2014-06-09,951,955,932,955,4100,3889800
2014-06-06,949,953,949,951,1600,1519000
2014-06-05,949,955,949,955,6700,6372300
2014-06-04,958,959,956,959,2400,2298500
2014-06-03,959,959,952,952,1400,1340800
2014-06-02,954,954,950,953,1900,1810100
2014-05-30,950,950,946,946,1800,1709500
2014-05-29,950,950,950,950,1000,950000
2014-05-28,945,945,944,945,300,283400
2014-05-27,948,948,945,945,600,567400
2014-05-26,950,950,950,950,1400,1330000
2014-05-23,937,949,937,939,1100,1033200
2014-05-22,936,948,925,948,3000,2800900
2014-05-21,936,936,936,936,400,374400
2014-05-20,937,946,935,936,1700,1592200
2014-05-19,949,949,940,940,1400,1325000
2014-05-16,946,947,937,937,500,471300
2014-05-15,937,945,937,937,400,375600
2014-05-14,948,948,936,939,1200,1135500
2014-05-13,935,935,933,933,9100,8507500
2014-05-12,945,950,942,950,2300,2177400
2014-05-09,941,943,938,943,3300,3099000
2014-05-08,945,945,936,938,1900,1789500
2014-05-07,948,948,945,945,2900,2748100
2014-05-02,949,949,947,949,1100,1042800
2014-05-01,948,950,947,950,1300,1234000
2014-04-30,944,944,931,935,1400,1306900
2014-04-28,947,947,936,936,1800,1693800
2014-04-25,947,947,947,947,200,189400
2014-04-24,939,940,939,940,200,187900
2014-04-23,937,940,937,939,300,281600
2014-04-22,938,938,938,938,100,93800
2014-04-21,948,948,936,941,500,470100
2014-04-18,940,940,935,935,800,749000
2014-04-17,937,937,933,933,200,187000
2014-04-16,949,949,949,949,100,94900
2014-04-15,940,940,940,940,100,94000
2014-04-14,948,948,938,940,7600,7199300
2014-04-11,940,944,939,944,2200,2071000
2014-04-10,939,942,938,942,1000,939700
2014-04-09,945,945,927,930,4700,4399500
2014-04-08,935,945,935,945,2000,1876600
2014-04-07,942,942,934,934,3900,3669200
2014-04-04,939,941,938,939,3300,3101100
2014-04-03,925,934,925,933,3600,3349000
2014-04-02,916,932,915,925,2700,2487000
2014-04-01,915,917,915,916,1200,1098500
2014-03-31,915,916,905,910,3100,2829900
2014-03-28,917,917,912,913,1000,915100
2014-03-27,913,915,913,915,1300,1187500
2014-03-26,920,929,912,912,2800,2571900
2014-03-25,923,924,920,921,1900,1752300
2014-03-24,918,930,918,930,1100,1019600
2014-03-20,941,941,916,918,1400,1294700
2014-03-19,939,940,926,940,1500,1399300
2014-03-18,920,933,920,924,3300,3046900
2014-03-17,914,920,914,920,2300,2109400
2014-03-14,915,929,915,929,4600,4231500
2014-03-13,952,959,945,945,9300,8851200
2014-03-12,941,957,941,954,15800,14914900
2014-03-11,955,957,955,956,1300,1242400
2014-03-10,956,956,952,953,2700,2575100
2014-03-07,955,955,951,951,2600,2479300
2014-03-06,954,959,951,959,1600,1524800
2014-03-05,959,959,953,953,3200,3067700
2014-03-04,949,954,949,954,3300,3135400
2014-03-03,952,961,951,954,3100,2953800
2014-02-28,952,954,952,953,1900,1809700
2014-02-27,960,960,958,958,900,863400
2014-02-26,951,975,951,960,6500,6227500
2014-02-25,998,998,990,998,4000,3979200
2014-02-24,998,998,986,993,2200,2184500
2014-02-21,986,986,981,986,2200,2165700
2014-02-20,993,996,986,987,3400,3368300
2014-02-19,990,995,988,994,2800,2770900
2014-02-18,990,996,990,993,2300,2282900
2014-02-17,990,995,985,991,1600,1584500
2014-02-14,997,997,985,986,3500,3458300
2014-02-13,999,999,990,997,8500,8487900
2014-02-12,993,1014,992,1005,6600,6587400
2014-02-10,991,996,991,992,2500,2483400
2014-02-07,991,991,986,990,700,692000
2014-02-06,982,989,982,988,1100,1084600
2014-02-05,987,989,981,983,3900,3840900
2014-02-04,994,994,977,987,5100,5016900
2014-02-03,996,996,990,994,1800,1786700
2014-01-31,997,997,987,992,1300,1289000
2014-01-30,991,993,987,989,3200,3166300
2014-01-29,979,998,979,992,8900,8790500
2014-01-28,998,998,984,994,1700,1684700
2014-01-27,988,989,968,984,4600,4521700
2014-01-24,1000,1003,990,999,6600,6587500
2014-01-23,1004,1004,1002,1002,1400,1404100
2014-01-22,1004,1008,1003,1004,1300,1305100
2014-01-21,1002,1008,1002,1004,1500,1505700
2014-01-20,1012,1013,1002,1006,2600,2620800
2014-01-17,1008,1013,1008,1013,1800,1815100
2014-01-16,1015,1020,1005,1011,3200,3248100
2014-01-15,1010,1013,1010,1010,900,909300
2014-01-14,1024,1024,999,1010,9700,9890700
2014-01-10,1030,1030,1001,1023,5000,5084600
2014-01-09,1009,1009,986,1000,9300,9295500
2014-01-08,1015,1024,1012,1016,4000,4070600
2014-01-07,1014,1017,1000,1010,5000,5050500
2014-01-06,992,1006,984,999,12600,12523000
2013-12-30,983,986,972,985,8100,7952400
2013-12-27,981,981,960,969,9700,9405400
2013-12-26,978,980,952,968,9100,8741600
2013-12-25,944,970,944,963,7000,6692500
2013-12-24,960,969,950,950,11100,10625000
2013-12-20,969,978,966,966,8300,8055600
2013-12-19,984,999,960,969,15400,14985800
2013-12-18,1001,1001,980,999,9900,9823800
2013-12-17,1029,1029,1000,1001,10600,10715800
2013-12-16,1047,1120,1023,1030,18600,19520100
2013-12-13,1101,1101,1035,1036,37500,40084800
2013-12-12,1369,1490,1102,1120,173700,222791500
2013-12-11,1343,1343,1343,1343,59600,80042800
2013-12-10,1043,1043,1043,1043,17200,17939600
2013-12-09,891,894,891,893,800,713300
2013-12-06,885,890,885,889,800,709500
2013-12-05,881,892,881,885,5200,4589200
