9876-T,JQスタンダード,コックス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,187,189,186,189,4100,770500
2014-06-26,190,190,185,185,7700,1451200
2014-06-25,190,190,185,187,7900,1484000
2014-06-24,189,189,188,189,1100,207700
2014-06-23,190,190,188,188,4600,872900
2014-06-20,189,189,188,189,3500,660700
2014-06-19,188,189,187,189,2200,412800
2014-06-18,186,188,185,186,4000,743700
2014-06-17,188,189,186,186,5800,1087700
2014-06-16,188,189,185,188,7300,1358300
2014-06-13,190,190,185,188,7700,1444100
2014-06-12,187,190,187,190,23600,4442500
2014-06-11,187,187,186,187,5000,933500
2014-06-10,187,187,185,186,11200,2082400
2014-06-09,186,186,185,186,6400,1190000
2014-06-06,184,185,183,185,8600,1582800
2014-06-05,184,186,184,185,2700,498700
2014-06-04,185,185,184,184,5100,940900
2014-06-03,185,185,183,184,9900,1822700
2014-06-02,184,185,184,184,3600,663500
2014-05-30,184,185,183,184,3000,552900
2014-05-29,184,185,184,184,1900,351000
2014-05-28,184,184,183,184,5800,1066700
2014-05-27,183,184,182,184,2300,422000
2014-05-26,184,184,182,184,5200,955800
2014-05-23,182,182,181,182,6400,1164700
2014-05-22,181,182,181,182,3400,615600
2014-05-21,181,182,180,182,1600,289100
2014-05-20,183,183,179,181,9800,1764500
2014-05-19,182,184,181,181,7900,1432900
2014-05-16,182,183,181,182,3000,544100
2014-05-15,183,183,182,182,5600,1019400
2014-05-14,184,184,182,184,5600,1026700
2014-05-13,184,184,181,181,7000,1278500
2014-05-12,184,184,181,182,9100,1661700
2014-05-09,183,183,181,183,4300,781100
2014-05-08,183,185,181,181,6700,1224600
2014-05-07,183,184,181,182,5800,1058500
2014-05-02,184,184,182,182,6800,1239300
2014-05-01,182,184,182,184,1800,328300
2014-04-30,183,184,182,183,14100,2570300
2014-04-28,185,186,183,183,7500,1388000
2014-04-25,184,184,182,183,5500,1003100
2014-04-24,182,184,182,184,6600,1205700
2014-04-23,182,183,182,183,1100,201200
2014-04-22,184,184,182,183,8200,1494700
2014-04-21,183,183,182,182,10400,1895300
2014-04-18,184,184,182,182,3300,601900
2014-04-17,183,184,182,183,1800,329500
2014-04-16,183,184,182,183,8800,1604000
2014-04-15,183,183,181,182,7700,1400900
2014-04-14,184,184,181,183,4100,753100
2014-04-11,183,184,180,181,16100,2919700
2014-04-10,186,186,182,183,8200,1509900
2014-04-09,184,185,182,184,9000,1650600
2014-04-08,184,186,184,185,7200,1326200
2014-04-07,186,186,184,184,7300,1351600
2014-04-04,185,187,185,186,4900,911300
2014-04-03,184,186,183,185,4400,811900
2014-04-02,183,184,182,183,3100,566200
2014-04-01,184,184,182,182,5800,1064200
2014-03-31,183,185,183,184,3900,715300
2014-03-28,184,184,182,183,4400,802400
2014-03-27,182,182,181,181,11300,2048800
2014-03-26,187,187,182,183,9500,1760800
2014-03-25,185,185,182,184,8500,1557700
2014-03-24,183,185,181,184,5200,953100
2014-03-20,186,187,183,184,7500,1385400
2014-03-19,189,189,185,186,6200,1154200
2014-03-18,186,188,186,187,3300,615500
2014-03-17,187,188,185,186,15700,2908800
2014-03-14,189,189,187,187,9900,1856700
2014-03-13,190,191,189,190,3800,720900
2014-03-12,191,191,190,190,9300,1772500
2014-03-11,193,193,191,192,6800,1304300
2014-03-10,193,193,191,192,4500,865400
2014-03-07,192,192,191,192,7300,1398800
2014-03-06,190,191,189,190,8500,1616100
2014-03-05,190,190,189,189,2700,511600
2014-03-04,189,191,188,189,9800,1854700
2014-03-03,191,191,189,191,9400,1784400
2014-02-28,192,192,190,192,12300,2350100
2014-02-27,192,193,191,193,11400,2187500
2014-02-26,191,193,191,191,63100,12094600
2014-02-25,196,198,195,198,30600,6005500
2014-02-24,195,196,194,194,29900,5828500
2014-02-21,195,196,194,196,15700,3059000
2014-02-20,194,195,193,195,14000,2714400
2014-02-19,196,196,194,194,17500,3411200
2014-02-18,196,197,195,196,13300,2604600
2014-02-17,196,196,194,196,10700,2089000
2014-02-14,196,196,194,195,8300,1618400
2014-02-13,196,196,194,195,23800,4632000
2014-02-12,197,197,195,197,8500,1669000
2014-02-10,195,195,193,194,17200,3343200
2014-02-07,191,195,191,194,26200,5038700
2014-02-06,190,194,190,192,10800,2069500
2014-02-05,191,193,189,189,12400,2364900
2014-02-04,190,193,184,189,67100,12636500
2014-02-03,195,198,193,195,21800,4244000
2014-01-31,195,201,194,194,25600,5034400
2014-01-30,197,199,192,195,41000,7984100
2014-01-29,200,201,198,198,19800,3953600
2014-01-28,198,200,191,200,21700,4242200
2014-01-27,196,196,191,196,60500,11796400
2014-01-24,201,204,198,199,49400,9907100
2014-01-23,205,208,203,203,11300,2312800
2014-01-22,203,203,202,203,19400,3934300
2014-01-21,204,204,202,202,16000,3253300
2014-01-20,202,204,201,202,17000,3444300
2014-01-17,201,202,198,202,38900,7799900
2014-01-16,202,203,199,201,26000,5223800
2014-01-15,204,204,201,201,23400,4736800
2014-01-14,204,204,200,202,37300,7514500
2014-01-10,205,205,199,203,14800,2995900
2014-01-09,205,205,199,203,86800,17512400
2014-01-08,210,211,204,209,51900,10844600
2014-01-07,209,217,208,210,116900,24800600
2014-01-06,202,216,200,209,117800,24728800
2013-12-30,198,200,197,200,18600,3696000
2013-12-27,198,198,197,198,12300,2431300
2013-12-26,197,198,194,197,15300,3015900
2013-12-25,195,195,191,194,30300,5818300
2013-12-24,195,198,192,193,36400,7053700
2013-12-20,196,198,194,195,12100,2354600
2013-12-19,197,198,194,196,44900,8781500
2013-12-18,199,199,197,198,6700,1324900
2013-12-17,198,199,197,199,14900,2956300
2013-12-16,200,201,199,199,11500,2293300
2013-12-13,203,203,200,201,15500,3118700
2013-12-12,206,207,201,202,11500,2349800
2013-12-11,204,207,201,207,42600,8676400
2013-12-10,200,201,198,200,12500,2497300
2013-12-09,202,202,197,199,20000,3972100
2013-12-06,196,199,196,199,17500,3458000
2013-12-05,197,198,193,195,37600,7355800
2013-12-04,197,198,196,197,7700,1517600
2013-12-03,198,199,197,198,13900,2745200
