9880-T,東証1部,イノテック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,497,497,472,478,76600,36727000
2014-06-26,483,496,482,492,140100,68292800
2014-06-25,488,490,481,484,61200,29680300
2014-06-24,490,497,483,488,122200,59986200
2014-06-23,490,496,490,494,30400,15022800
2014-06-20,502,502,486,489,95000,46816700
2014-06-19,492,502,492,500,89500,44695300
2014-06-18,492,498,489,497,81500,40261100
2014-06-17,491,495,482,490,90000,44218100
2014-06-16,484,493,483,491,151700,73742700
2014-06-13,493,495,481,487,176300,86168000
2014-06-12,495,496,488,492,82300,40510100
2014-06-11,501,507,497,497,52200,26162200
2014-06-10,501,509,499,505,197200,99253700
2014-06-09,493,504,492,504,116400,58117900
2014-06-06,489,497,486,493,80400,39547000
2014-06-05,485,490,484,489,152600,74148000
2014-06-04,481,486,476,485,103800,50049900
2014-06-03,474,483,468,481,250200,119131600
2014-06-02,460,474,460,471,117200,54909400
2014-05-30,455,465,454,462,61100,28076500
2014-05-29,456,456,451,455,23700,10763000
2014-05-28,451,459,451,454,83100,37581500
2014-05-27,457,461,452,454,59700,27313400
2014-05-26,448,455,448,452,85000,38171100
2014-05-23,456,456,448,449,107700,48878800
2014-05-22,435,459,435,459,183900,81939000
2014-05-21,443,445,434,435,105800,46614000
2014-05-20,429,448,429,443,175600,76682400
2014-05-19,431,433,420,424,110500,47349300
2014-05-16,432,435,426,429,63000,27076000
2014-05-15,426,434,423,433,72300,31021300
2014-05-14,426,437,426,434,42500,18378600
2014-05-13,427,436,417,427,229100,98191800
2014-05-12,450,453,435,435,95400,42608000
2014-05-09,435,448,435,441,84800,37123200
2014-05-08,443,443,436,436,80300,35483000
2014-05-07,435,439,430,431,93800,40752600
2014-05-02,440,442,436,440,73200,32196600
2014-05-01,435,442,435,441,32200,14118700
2014-04-30,437,439,430,434,59400,25863100
2014-04-28,434,435,428,431,38600,16606700
2014-04-25,435,435,427,430,20500,8834600
2014-04-24,432,434,425,427,27900,11958700
2014-04-23,430,436,429,431,27200,11779600
2014-04-22,433,433,425,426,16500,7070300
2014-04-21,428,432,428,430,29400,12644700
2014-04-18,434,434,423,427,42200,17974000
2014-04-17,429,432,424,427,33600,14382800
2014-04-16,417,432,417,431,79800,33927800
2014-04-15,413,414,408,413,147700,60919600
2014-04-14,412,420,412,414,99500,41161600
2014-04-11,419,420,404,412,154600,63954200
2014-04-10,432,438,419,419,72000,30756800
2014-04-09,429,435,427,429,120100,51589700
2014-04-08,440,444,432,434,105900,46380700
2014-04-07,435,447,435,440,44900,19775000
2014-04-04,442,445,440,443,37800,16726400
2014-04-03,442,450,441,444,92700,41360400
2014-04-02,442,450,442,443,123000,54633000
2014-04-01,445,445,438,443,91000,40387300
2014-03-31,443,444,433,440,47000,20655100
2014-03-28,427,436,422,436,39100,16758900
2014-03-27,419,432,415,429,54700,23138000
2014-03-26,430,436,430,433,103000,44518200
2014-03-25,442,442,435,438,50000,21918300
2014-03-24,431,442,431,436,50900,22214000
2014-03-20,440,442,431,432,46600,20313800
2014-03-19,439,441,433,436,52000,22728700
2014-03-18,432,445,432,439,45900,20073000
2014-03-17,433,434,428,429,54100,23318900
2014-03-14,441,442,430,432,190500,83231400
2014-03-13,447,457,447,448,83300,37347200
2014-03-12,454,454,446,447,105400,47579000
2014-03-11,458,460,450,454,86700,39343000
2014-03-10,463,470,456,458,44900,20685500
2014-03-07,463,464,457,463,40700,18744500
2014-03-06,457,464,454,461,27000,12390900
2014-03-05,454,461,453,456,39700,18084400
2014-03-04,454,458,450,457,77800,35313100
2014-03-03,450,452,445,450,107200,48173200
2014-02-28,460,461,455,456,26500,12121300
2014-02-27,456,464,456,459,29900,13731800
2014-02-26,463,465,452,461,41400,19078700
2014-02-25,466,468,460,464,30800,14288400
2014-02-24,464,472,455,462,59200,27388700
2014-02-21,452,461,452,459,86400,39209800
2014-02-20,464,464,447,450,55300,25121200
2014-02-19,469,469,462,465,14800,6888700
2014-02-18,460,471,456,469,97300,44974500
2014-02-17,470,470,456,466,109600,51123300
2014-02-14,457,459,444,454,104200,47373100
2014-02-13,473,473,448,453,80500,36975800
2014-02-12,474,476,471,473,29100,13781300
2014-02-10,494,494,467,469,86200,41202700
2014-02-07,460,469,451,465,77900,35893900
2014-02-06,448,458,445,452,50700,22869900
2014-02-05,448,455,441,447,134200,59783300
2014-02-04,462,466,442,445,198400,89465400
2014-02-03,478,484,470,476,106000,50552700
2014-01-31,498,499,477,488,141200,69309900
2014-01-30,500,500,491,495,48300,23876500
2014-01-29,499,511,497,510,93000,46677600
2014-01-28,494,502,493,495,57100,28364700
2014-01-27,490,502,485,493,161300,79063200
2014-01-24,502,520,498,510,161300,81692500
2014-01-23,527,529,514,517,73400,38325500
2014-01-22,523,523,513,520,127400,66327400
2014-01-21,529,530,522,523,64300,33899100
2014-01-20,518,524,510,522,112300,58122700
2014-01-17,508,517,505,514,46500,23861700
2014-01-16,515,515,505,513,151200,77502500
2014-01-15,501,514,501,510,84700,43093800
2014-01-14,498,507,490,499,171500,85741000
2014-01-10,498,505,495,503,61800,30894900
2014-01-09,496,500,494,498,79900,39720500
2014-01-08,478,505,478,504,167000,81615000
2014-01-07,489,489,477,482,47100,22694600
2014-01-06,487,489,481,486,130900,63657100
2013-12-30,480,489,480,488,55700,27035100
2013-12-27,475,480,472,479,117500,55877800
2013-12-26,456,477,456,472,77400,36404700
2013-12-25,453,458,452,457,133600,60627400
2013-12-24,461,464,451,452,142400,65351600
2013-12-20,470,489,459,461,264700,124491500
2013-12-19,466,466,458,460,67100,30983300
2013-12-18,452,467,452,467,127100,58168800
2013-12-17,451,455,449,452,55500,25060400
2013-12-16,452,455,447,450,109200,49264900
2013-12-13,457,463,453,456,114900,52570600
2013-12-12,462,466,455,460,136500,62873800
2013-12-11,475,476,468,469,59500,28102600
2013-12-10,484,484,475,481,98300,47372700
2013-12-09,489,490,476,479,67800,32653100
2013-12-06,472,486,463,483,125800,59777900
2013-12-05,473,475,463,464,54100,25318500
2013-12-04,482,484,473,473,69000,32976300
2013-12-03,491,493,484,484,47800,23355500
2013-12-02,492,493,490,491,40100,19700400
2013-11-29,490,494,486,493,27200,13341400
2013-11-28,488,494,485,490,48000,23509800
2013-11-27,480,488,477,486,45600,22128500
2013-11-26,487,487,480,480,25400,12284500
2013-11-25,480,486,476,486,36800,17743800
2013-11-22,486,488,474,477,54700,26451300
2013-11-21,473,482,473,481,59900,28649800
2013-11-20,480,483,474,476,69000,33000800
2013-11-19,488,488,481,481,95000,46153800
2013-11-18,483,483,475,480,56100,26849600
2013-11-15,474,480,470,475,82800,39445600
2013-11-14,473,474,469,472,45600,21519400
2013-11-13,464,468,459,466,74100,34456600
2013-11-12,458,463,451,461,88200,40354100
2013-11-11,443,457,438,457,64700,29101500
2013-11-08,439,443,438,438,16100,7086500
2013-11-07,446,449,439,440,26400,11694000
2013-11-06,441,448,440,444,23200,10289200
2013-11-05,454,454,439,446,31400,13976400
2013-11-01,453,453,441,450,23100,10323000
2013-10-31,454,458,450,452,22200,10066600
2013-10-30,461,462,442,453,61400,28064700
2013-10-29,457,460,454,458,43400,19880400
2013-10-28,447,456,447,454,38400,17426100
2013-10-25,443,451,441,442,49700,22134300
2013-10-24,445,451,442,449,15800,7060300
2013-10-23,448,449,445,445,25300,11292500
2013-10-22,450,452,446,451,14400,6471200
2013-10-21,450,453,446,447,17600,7901000
2013-10-18,447,450,441,448,18200,8112000
2013-10-17,441,453,441,452,42500,19034700
2013-10-16,438,444,435,436,17200,7549700
2013-10-15,440,443,435,439,17000,7462800
2013-10-11,439,445,435,439,38000,16720000
2013-10-10,432,434,430,434,17200,7444200
2013-10-09,424,435,424,435,20200,8692700
2013-10-08,429,431,423,430,18900,8084500
2013-10-07,428,435,422,427,33800,14443800
2013-10-04,440,441,427,427,43200,18743700
2013-10-03,440,450,440,444,26200,11645700
2013-10-02,441,448,440,445,40300,17869800
2013-10-01,459,460,440,447,77800,34938100
2013-09-30,442,520,436,454,425400,200209300
2013-09-27,446,448,431,445,26100,11526500
2013-09-26,451,451,432,447,21300,9457100
2013-09-25,450,460,447,452,20500,9283900
2013-09-24,446,455,446,453,27300,12311400
2013-09-20,450,453,440,450,36000,16191000
2013-09-19,444,448,440,447,23900,10639100
2013-09-18,436,442,435,437,21700,9495900
2013-09-17,430,439,429,435,23700,10259800
2013-09-13,424,432,424,429,34400,14633300
2013-09-12,431,432,428,428,13100,5627800
2013-09-11,434,434,426,428,22000,9476900
2013-09-10,421,427,421,426,42300,17954200
2013-09-09,423,423,415,420,21800,9146200
2013-09-06,420,420,413,415,15100,6268600
2013-09-05,422,422,413,414,25300,10535300
2013-09-04,413,419,413,418,11300,4700300
2013-09-03,415,417,410,417,27700,11442800
2013-09-02,410,413,405,406,23700,9705200
2013-08-30,415,415,408,408,32700,13417100
2013-08-29,411,414,410,414,11700,4818400
2013-08-28,416,416,406,412,30600,12548600
2013-08-27,420,422,418,418,13600,5710900
2013-08-26,421,422,419,420,10600,4457300
2013-08-23,416,424,415,421,13500,5668600
2013-08-22,414,420,414,420,22000,9152100
2013-08-21,424,425,419,419,35200,14819200
2013-08-20,425,427,425,425,11200,4771000
2013-08-19,426,428,425,426,8600,3664800
2013-08-16,422,431,422,427,14700,6257700
2013-08-15,431,436,426,426,23700,10205400
2013-08-14,436,438,429,436,17600,7640900
2013-08-13,435,435,428,435,17400,7505100
2013-08-12,436,437,430,430,26100,11308700
2013-08-09,438,438,429,432,41300,17917800
2013-08-08,440,447,421,430,159900,69280900
2013-08-07,465,469,460,462,21000,9749200
2013-08-06,462,475,460,475,47800,22354800
2013-08-05,469,470,455,456,29200,13457300
2013-08-02,470,470,460,469,40700,18908900
2013-08-01,454,469,447,468,28500,13009600
2013-07-31,460,460,448,456,42500,19315700
2013-07-30,432,455,432,452,37100,16557400
2013-07-29,442,449,431,436,29500,12971800
2013-07-26,460,461,458,458,38400,17643800
2013-07-25,467,470,464,465,18800,8774200
2013-07-24,477,477,466,469,8500,3999400
2013-07-23,461,470,458,469,33700,15632300
2013-07-22,466,470,456,469,71800,33304300
2013-07-19,469,480,465,467,86300,40679700
2013-07-18,470,477,461,474,50700,23873900
2013-07-17,475,475,467,469,17700,8327500
2013-07-16,478,479,470,472,77300,36783000
2013-07-12,473,477,471,475,55200,26200000
2013-07-11,470,470,465,469,19700,9216400
2013-07-10,472,472,461,465,21600,10080100
2013-07-09,470,472,458,469,89900,41556200
2013-07-08,479,480,467,468,68800,32624600
2013-07-05,466,468,460,464,52600,24377700
2013-07-04,470,474,461,465,70400,32906100
2013-07-03,458,500,458,480,368400,176864500
2013-07-02,440,440,428,434,36700,15935500
2013-07-01,437,437,422,428,32500,13934900
2013-06-28,430,434,422,425,35600,15288100
2013-06-27,417,423,408,416,48200,19988700
2013-06-26,428,428,412,417,69400,29402300
2013-06-25,427,428,416,416,25800,10822300
2013-06-24,429,429,422,424,15400,6549700
2013-06-21,418,430,411,425,22800,9570700
