9882-T,東証1部,イエローハット,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2368,2376,2307,2325,28100,65518400
2014-06-26,2384,2427,2364,2368,37100,88460100
2014-06-25,2377,2384,2358,2358,25200,59664500
2014-06-24,2372,2400,2322,2392,44900,106939500
2014-06-23,2400,2450,2350,2370,59500,141816500
2014-06-20,2430,2430,2391,2417,44400,106924600
2014-06-19,2374,2414,2360,2413,45100,107992100
2014-06-18,2339,2380,2325,2373,34900,82247900
2014-06-17,2272,2333,2258,2325,41700,96139100
2014-06-16,2290,2290,2251,2273,21200,48046600
2014-06-13,2241,2290,2241,2283,35700,80394800
2014-06-12,2220,2276,2218,2269,23800,53567600
2014-06-11,2222,2240,2212,2234,41100,91369800
2014-06-10,2222,2247,2222,2231,11900,26576400
2014-06-09,2237,2245,2221,2222,13400,29875400
2014-06-06,2231,2265,2230,2235,20500,45909300
2014-06-05,2230,2300,2230,2249,29300,66497800
2014-06-04,2225,2234,2223,2231,11700,26082100
2014-06-03,2238,2244,2220,2226,14700,32822700
2014-06-02,2222,2249,2208,2238,40400,90059500
2014-05-30,2190,2250,2186,2213,70400,156178800
2014-05-29,2099,2190,2080,2163,76700,164169100
2014-05-28,2098,2122,2044,2050,63800,132422900
2014-05-27,2081,2110,2081,2088,40000,83710500
2014-05-26,2117,2117,2104,2116,13000,27430500
2014-05-23,2099,2115,2086,2109,16900,35608700
2014-05-22,2104,2110,2085,2086,15500,32481600
2014-05-21,2100,2113,2086,2104,18600,39048600
2014-05-20,2098,2113,2075,2106,27900,58548700
2014-05-19,2060,2107,2060,2089,21500,44949200
2014-05-16,2095,2095,2075,2083,33400,69574400
2014-05-15,2088,2106,2086,2095,25600,53602000
2014-05-14,2100,2111,2097,2102,23700,49851400
2014-05-13,2106,2121,2090,2105,64800,136240600
2014-05-12,1982,2114,1978,2100,149600,311880800
2014-05-09,1917,1942,1914,1925,15200,29273500
2014-05-08,1918,1944,1911,1924,14500,27926800
2014-05-07,1933,1950,1917,1919,32000,61769200
2014-05-02,1992,1993,1964,1973,8900,17612700
2014-05-01,1949,1997,1941,1986,28300,55816900
2014-04-30,1980,1997,1951,1957,28800,56595600
2014-04-28,1979,1994,1970,1981,27300,54052000
2014-04-25,1982,2014,1978,2004,19700,39378500
2014-04-24,1984,1987,1959,1982,22200,43886100
2014-04-23,1984,1994,1967,1984,15000,29706500
2014-04-22,2000,2000,1982,1984,16700,33270600
2014-04-21,1967,2000,1967,1986,20000,39637200
2014-04-18,1976,1976,1955,1973,21100,41489400
2014-04-17,1959,1970,1945,1951,17700,34617900
2014-04-16,1940,1958,1925,1957,21900,42530000
2014-04-15,1936,1942,1909,1922,20300,38924800
2014-04-14,1912,1952,1912,1924,22200,42767300
2014-04-11,1932,1966,1901,1927,28600,55202800
2014-04-10,1972,2009,1950,1960,46300,91007700
2014-04-09,1951,1975,1943,1966,44200,86461500
2014-04-08,1999,2022,1970,1979,48000,95241900
2014-04-07,2027,2059,2011,2014,34800,70594800
2014-04-04,2081,2101,2044,2053,56300,116418700
2014-04-03,2079,2129,2053,2093,81300,170659900
2014-04-02,2080,2095,2031,2060,65700,136233200
2014-04-01,2076,2094,2041,2086,56800,117950800
2014-03-31,2013,2072,2012,2062,85800,174887000
2014-03-28,1974,2017,1936,1997,78500,156847300
2014-03-27,1954,1974,1903,1966,109200,212948300
2014-03-26,1972,1978,1932,1972,138200,271595700
2014-03-25,1916,1975,1914,1922,88100,171554300
2014-03-24,1878,1915,1869,1877,67500,127350400
2014-03-20,1900,1900,1856,1874,42400,79655200
2014-03-19,1904,1905,1879,1896,25200,47726000
2014-03-18,1927,1938,1875,1904,28600,54656800
2014-03-17,1910,1916,1880,1883,31700,60048000
2014-03-14,1930,1940,1891,1903,93100,178513800
2014-03-13,1941,1963,1937,1944,22200,43213900
2014-03-12,1951,1959,1941,1942,15000,29207800
2014-03-11,1980,1980,1953,1972,12000,23616500
2014-03-10,1968,1977,1956,1962,18000,35366200
2014-03-07,1967,1982,1941,1970,17700,34844100
2014-03-06,1966,1972,1938,1967,23500,45962200
2014-03-05,1982,1995,1960,1966,16200,32003700
2014-03-04,1940,1979,1938,1973,53000,104045000
2014-03-03,1910,1954,1891,1933,29900,57228000
2014-02-28,1911,1945,1901,1943,42700,82157700
2014-02-27,1939,1945,1915,1915,25600,49250100
2014-02-26,1931,1955,1931,1939,18800,36506900
2014-02-25,1942,1961,1939,1958,24300,47462500
2014-02-24,1978,1980,1935,1942,27100,52929100
2014-02-21,1957,1982,1945,1978,33000,64961800
2014-02-20,1965,1965,1936,1942,40600,79155700
2014-02-19,1975,1975,1933,1962,30000,58538700
2014-02-18,1980,1980,1930,1979,39000,76646000
2014-02-17,1947,1979,1925,1975,33000,64504600
2014-02-14,1932,1959,1929,1950,45400,88213500
2014-02-13,1932,1949,1930,1937,24800,48136600
2014-02-12,1928,1944,1925,1939,20700,40022700
2014-02-10,1931,1942,1916,1927,25900,49988300
2014-02-07,1898,1914,1873,1910,33200,62924300
2014-02-06,1879,1915,1848,1869,61400,115684900
2014-02-05,1825,1882,1823,1868,54500,100861200
2014-02-04,1834,1860,1802,1806,78300,143108200
2014-02-03,1861,1896,1856,1874,38300,71878200
2014-01-31,1874,1902,1872,1901,36500,68842900
2014-01-30,1898,1898,1847,1881,37200,69495600
2014-01-29,1857,1911,1857,1910,17500,33145000
2014-01-28,1845,1882,1845,1855,33400,62215600
2014-01-27,1867,1877,1845,1845,39300,72923400
2014-01-24,1901,1915,1883,1902,41000,77878900
2014-01-23,1975,1976,1939,1939,26400,51598400
2014-01-22,1950,1966,1943,1963,29900,58474100
2014-01-21,1955,1981,1952,1959,37300,73229900
2014-01-20,1959,1965,1938,1955,36100,70467400
2014-01-17,1901,1957,1901,1951,41300,79691300
2014-01-16,1876,1915,1869,1907,55300,104957500
2014-01-15,1879,1879,1855,1867,21400,39887600
2014-01-14,1870,1880,1855,1856,29300,54641800
2014-01-10,1874,1894,1856,1893,37200,69803800
2014-01-09,1876,1880,1865,1880,24700,46255100
2014-01-08,1865,1878,1853,1876,27200,50849200
2014-01-07,1887,1887,1850,1851,41000,76430900
2014-01-06,1878,1887,1866,1881,47700,89619800
2013-12-30,1871,1882,1861,1875,68300,127913100
2013-12-27,1830,1853,1822,1849,49100,90411900
2013-12-26,1819,1849,1819,1837,46700,85660500
2013-12-25,1816,1826,1741,1805,82100,148112700
2013-12-24,1883,1888,1785,1806,157500,289978700
2013-12-20,1884,1902,1882,1897,47100,89043000
2013-12-19,1910,1917,1893,1898,54700,104007500
2013-12-18,1884,1906,1883,1899,40300,76403000
2013-12-17,1885,1905,1882,1887,31700,59919000
2013-12-16,1925,1928,1882,1883,38700,73518900
2013-12-13,1937,1949,1917,1931,67500,130649000
2013-12-12,1954,1975,1948,1953,22700,44450600
2013-12-11,1971,1982,1959,1968,11800,23240700
2013-12-10,2003,2004,1941,1991,53800,106626300
2013-12-09,1994,2013,1994,2013,55900,112189800
2013-12-06,1951,1984,1943,1979,53900,105512300
2013-12-05,2000,2000,1958,1961,53000,104573200
2013-12-04,1972,2000,1955,1988,49300,97724800
2013-12-03,2010,2010,1973,1975,50900,101049700
2013-12-02,2002,2019,1998,2007,43900,88026900
2013-11-29,2005,2032,2005,2018,27400,55344300
2013-11-28,2010,2026,1996,2018,38700,77927600
2013-11-27,2022,2048,2003,2012,41100,82744600
2013-11-26,2014,2048,1985,2048,99800,202726300
2013-11-25,1991,2015,1985,2014,67800,135822600
2013-11-22,1977,2020,1958,1981,110200,219380300
2013-11-21,1928,1980,1928,1976,91900,180178600
2013-11-20,1944,1950,1918,1934,64400,124655300
2013-11-19,1894,1948,1894,1924,55400,106731300
2013-11-18,1940,1949,1908,1919,41000,79064700
