9892-T,JQスタンダード,卑弥呼,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,812,812,807,810,3100,2511500
2014-06-26,813,813,811,811,1100,894100
2014-06-25,811,811,809,810,4000,3240700
2014-06-24,811,811,811,811,3100,2514100
2014-06-23,813,820,811,811,3400,2772700
2014-06-20,820,820,812,812,3500,2865700
2014-06-19,818,820,818,820,500,409400
2014-06-18,820,821,819,820,2100,1722100
2014-06-17,823,823,823,823,200,164600
2014-06-16,823,823,816,816,3100,2547500
2014-06-13,820,823,820,823,600,492900
2014-06-12,816,820,816,820,1100,901600
2014-06-11,824,824,824,824,100,82400
2014-06-10,820,821,816,816,1900,1555500
2014-06-09,825,825,811,815,300,245100
2014-06-06,807,825,806,825,2400,1953800
2014-06-05,809,809,802,809,1800,1450600
2014-06-04,805,810,802,805,1000,803900
2014-06-03,823,825,791,820,4500,3672300
2014-06-02,811,822,811,822,2100,1710700
2014-05-30,806,819,806,810,3800,3078700
2014-05-29,791,801,791,801,1100,876200
2014-05-28,795,795,785,785,800,630000
2014-05-27,793,799,780,782,2700,2136900
2014-05-26,781,799,781,797,3800,3014500
2014-05-23,755,780,755,779,8800,6753600
2014-05-22,755,756,750,751,4900,3685900
2014-05-21,771,771,753,753,4900,3730000
2014-05-20,780,787,771,771,7600,5935000
2014-05-19,800,800,762,780,9700,7639400
2014-05-16,780,799,756,792,7700,5954500
2014-05-15,728,795,728,785,35700,26507400
2014-05-14,848,848,848,848,11200,9497600
2014-05-13,1002,1004,998,998,4100,4103200
2014-05-12,1001,1001,1000,1000,1100,1100200
2014-05-09,1002,1004,1001,1001,800,801800
2014-05-08,1001,1001,1000,1000,1900,1900600
2014-05-07,1000,1001,1000,1000,500,500100
2014-05-02,1004,1004,1000,1000,300,300600
2014-05-01,1000,1000,1000,1000,300,300000
2014-04-30,1003,1003,1000,1000,1000,1000300
2014-04-28,1000,1002,1000,1000,1200,1200200
2014-04-25,1008,1008,1000,1000,300,301500
2014-04-24,1001,1001,998,998,1600,1597100
