9930-T,東証1部,北沢産,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,183,184,181,181,6700,1223400
2014-06-26,184,185,183,183,10800,1986500
2014-06-25,186,186,183,184,11500,2115300
2014-06-24,186,186,182,186,17400,3192300
2014-06-23,186,186,182,184,13500,2482300
2014-06-20,185,185,182,184,5000,916600
2014-06-19,185,185,182,183,10900,2002900
2014-06-18,182,184,180,182,21600,3933000
2014-06-17,178,184,178,182,36200,6605100
2014-06-16,180,181,177,177,46300,8305800
2014-06-13,177,182,175,180,29300,5192400
2014-06-12,177,180,177,179,13200,2357900
2014-06-11,176,180,175,177,27400,4860200
2014-06-10,176,177,175,176,6600,1161700
2014-06-09,178,178,174,176,9000,1583200
2014-06-06,178,178,175,176,6800,1198100
2014-06-05,178,178,175,177,6100,1080800
2014-06-04,175,176,174,175,10900,1914000
2014-06-03,178,178,175,177,3300,585600
2014-06-02,177,177,172,175,14800,2590600
2014-05-30,174,176,174,175,4900,856900
2014-05-29,174,177,174,175,3400,596100
2014-05-28,175,175,174,175,1800,314600
2014-05-27,176,176,173,174,17100,2970100
2014-05-26,173,175,173,175,15700,2725900
2014-05-23,171,173,171,173,4500,775800
2014-05-22,167,171,167,171,12000,2031400
2014-05-21,168,169,165,166,5100,850700
2014-05-20,170,170,167,167,21900,3688600
2014-05-19,169,170,168,168,8200,1385200
2014-05-16,173,173,168,168,41000,6976000
2014-05-15,179,180,173,173,13500,2386100
2014-05-14,175,176,174,175,7100,1241600
2014-05-13,175,176,174,175,10600,1851000
2014-05-12,176,177,174,174,45800,8040400
2014-05-09,177,178,177,177,3300,584400
2014-05-08,176,178,176,177,4600,815100
2014-05-07,180,180,176,176,17900,3179100
2014-05-02,178,180,178,180,9100,1623600
2014-05-01,179,180,177,179,13200,2366400
2014-04-30,178,182,177,178,8000,1429400
2014-04-28,183,183,178,180,12900,2345300
2014-04-25,182,183,182,183,4900,894200
2014-04-24,182,182,180,182,15500,2801800
2014-04-23,179,182,179,180,13000,2347900
2014-04-22,182,183,180,180,9900,1805900
2014-04-21,183,184,182,182,13200,2416900
2014-04-18,182,183,181,183,20000,3633300
2014-04-17,176,184,176,181,33400,5970800
2014-04-16,180,180,178,179,31200,5611700
2014-04-15,177,179,177,177,21000,3721500
2014-04-14,184,186,177,178,94900,17243000
2014-04-11,175,176,173,174,29300,5120900
2014-04-10,177,177,176,176,9100,1606400
2014-04-09,176,178,176,176,12100,2132100
2014-04-08,178,179,176,176,16000,2838400
2014-04-07,180,181,178,180,17400,3119700
2014-04-04,182,183,181,183,9600,1750300
2014-04-03,182,184,182,182,7500,1369700
2014-04-02,183,184,181,181,19900,3634700
2014-04-01,180,183,180,183,14600,2655800
2014-03-31,183,183,177,180,9500,1715000
2014-03-28,184,184,176,179,16500,2956000
2014-03-27,179,183,179,180,17000,3063500
2014-03-26,185,187,180,184,22500,4128000
2014-03-25,181,181,178,180,37000,6661500
2014-03-24,181,182,176,180,41500,7459000
2014-03-20,181,184,178,178,15000,2713500
2014-03-19,185,185,182,182,21000,3865500
2014-03-18,181,184,181,184,4000,732000
2014-03-17,179,179,178,179,20000,3577000
2014-03-14,181,182,180,180,48500,8773500
2014-03-13,182,186,182,184,6500,1201000
2014-03-12,183,184,182,182,10500,1920500
2014-03-11,185,187,184,184,5000,926000
2014-03-10,184,189,184,185,14000,2596000
