9964-T,JQスタンダード,アイ･テック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,945,945,940,945,600,565000
2014-06-26,-,-,-,-,0,0
2014-06-25,-,-,-,-,0,0
2014-06-24,959,959,950,950,400,382700
2014-06-23,945,946,945,946,400,378100
2014-06-20,936,942,936,942,300,281400
2014-06-19,935,935,931,931,1000,934000
2014-06-18,930,950,930,935,7000,6636500
2014-06-17,-,-,-,-,0,0
2014-06-16,965,965,940,940,7500,7085400
2014-06-13,960,960,953,955,4400,4198200
2014-06-12,-,-,-,-,0,0
2014-06-11,940,966,940,966,2200,2120000
2014-06-10,945,950,944,950,5300,5009300
2014-06-09,950,950,937,937,200,188700
2014-06-06,937,950,937,950,5300,5033700
2014-06-05,936,941,936,941,8200,7696000
2014-06-04,922,931,922,931,8600,7965300
2014-06-03,951,951,921,922,6900,6421900
2014-06-02,955,955,929,929,1600,1500500
2014-05-30,941,941,928,928,1700,1594000
2014-05-29,935,962,935,962,1000,946000
2014-05-28,939,939,933,933,600,561200
2014-05-27,915,965,915,954,1300,1220400
2014-05-26,900,915,900,905,1900,1726800
2014-05-23,875,888,870,879,4800,4196200
2014-05-22,890,890,890,890,600,534000
2014-05-21,890,890,890,890,100,89000
2014-05-20,-,-,-,-,0,0
2014-05-19,905,905,887,887,1400,1245800
2014-05-16,-,-,-,-,0,0
2014-05-15,905,905,905,905,100,90500
2014-05-14,890,890,890,890,100,89000
2014-05-13,943,943,888,888,900,821800
2014-05-12,931,946,928,928,600,559800
2014-05-09,910,965,910,940,700,658500
2014-05-08,950,950,910,910,1200,1100300
2014-05-07,950,950,950,950,300,285000
2014-05-02,950,950,950,950,100,95000
2014-05-01,925,955,925,955,700,653400
2014-04-30,918,1026,910,910,5700,5478500
2014-04-28,910,910,910,910,200,182000
2014-04-25,907,907,907,907,100,90700
2014-04-24,907,965,907,922,3200,2989100
2014-04-23,922,922,922,922,100,92200
2014-04-22,907,907,907,907,300,272100
2014-04-21,922,922,922,922,100,92200
2014-04-18,922,937,922,937,200,185900
2014-04-17,-,-,-,-,0,0
2014-04-16,915,945,915,945,300,280500
2014-04-15,930,930,930,930,100,93000
2014-04-14,945,945,945,945,100,94500
2014-04-11,899,945,887,945,1100,1016000
2014-04-10,909,909,908,909,900,818000
2014-04-09,940,940,909,909,800,736800
2014-04-08,935,940,935,940,200,187500
2014-04-07,984,984,939,950,3400,3226100
2014-04-04,1000,1000,969,969,1100,1096800
2014-04-03,-,-,-,-,0,0
2014-04-02,-,-,-,-,0,0
2014-04-01,936,980,935,980,2100,2008800
2014-03-31,945,945,925,925,800,753600
2014-03-28,906,946,905,945,7200,6614500
2014-03-27,939,939,909,921,3100,2857700
2014-03-26,978,978,959,959,2100,2020800
2014-03-25,-,-,-,-,0,0
2014-03-24,988,988,973,973,300,293400
2014-03-20,965,992,955,992,500,483900
2014-03-19,966,967,965,965,300,289800
2014-03-18,963,963,962,963,1100,1059200
2014-03-17,961,997,961,978,2500,2455000
2014-03-14,957,1006,957,1006,1400,1389200
2014-03-13,1024,1024,1000,1000,2000,2002400
2014-03-12,993,1000,993,1000,300,298600
2014-03-11,999,999,993,993,600,597600
2014-03-10,1000,1000,1000,1000,500,500000
2014-03-07,1010,1015,1010,1015,600,606500
2014-03-06,1011,1031,1010,1010,4600,4732400
2014-03-05,1058,1058,1003,1003,300,309000
2014-03-04,1059,1059,1029,1029,10200,10798800
2014-03-03,1060,1060,1050,1060,2300,2435700
2014-02-28,1030,1030,1030,1030,400,412000
2014-02-27,1023,1030,1023,1030,8500,8747500
2014-02-26,-,-,-,-,0,0
2014-02-25,1022,1035,1022,1035,4300,4442600
2014-02-24,985,1032,985,1002,7900,7796100
2014-02-21,-,-,-,-,0,0
2014-02-20,1008,1008,1008,1008,1300,1310400
2014-02-19,1035,1035,1008,1008,5100,5275800
2014-02-18,1027,1030,1024,1030,6400,6565000
2014-02-17,1000,1057,982,1057,500,508600
2014-02-14,1007,1007,1000,1000,600,602200
2014-02-13,1061,1070,1028,1028,3900,4113200
2014-02-12,1005,1149,1005,1129,12800,13909600
2014-02-10,999,999,999,999,200,199800
2014-02-07,-,-,-,-,0,0
2014-02-06,-,-,-,-,0,0
2014-02-05,1000,1000,990,990,5100,5095000
2014-02-04,935,990,900,980,5900,5563700
2014-02-03,1039,1039,945,948,2200,2151800
2014-01-31,1035,1035,1019,1019,600,613000
2014-01-30,-,-,-,-,0,0
2014-01-29,-,-,-,-,0,0
2014-01-28,1010,1019,1000,1019,800,810000
2014-01-27,985,1005,985,1005,2600,2579500
2014-01-24,1022,1022,1017,1017,1600,1628800
2014-01-23,1015,1015,1002,1002,3400,3424900
2014-01-22,1060,1060,983,1006,6800,6818100
2014-01-21,1064,1064,1063,1063,900,957500
2014-01-20,1038,1064,1038,1064,700,734700
2014-01-17,1033,1033,1020,1020,4400,4501500
2014-01-16,1035,1035,1033,1033,300,310300
2014-01-15,1035,1035,1035,1035,200,207000
2014-01-14,1031,1032,1031,1032,2400,2476700
2014-01-10,1050,1050,1050,1050,800,840000
