9992-T,JQスタンダード,理研グリン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,332,334,322,334,14000,4611000
2014-06-26,340,340,340,340,10000,3400000
2014-06-25,338,340,336,340,4000,1350000
2014-06-24,339,340,338,338,5000,1693000
2014-06-23,336,339,336,339,5000,1685000
2014-06-20,331,332,331,331,5000,1658000
2014-06-19,327,329,327,329,6000,1969000
2014-06-18,322,322,322,322,6000,1932000
2014-06-17,321,322,321,322,3000,965000
2014-06-16,321,324,316,321,25000,7995000
2014-06-13,333,333,315,316,19000,6090000
2014-06-12,321,333,321,333,15000,4898000
2014-06-11,311,321,311,321,2000,632000
2014-06-10,322,322,311,311,8000,2528000
2014-06-09,319,319,314,314,2000,633000
2014-06-06,315,325,313,313,13000,4144000
2014-06-05,291,311,290,311,25000,7479000
2014-06-04,292,292,290,292,7000,2037000
2014-06-03,291,295,291,292,5000,1468000
2014-06-02,295,298,285,288,13000,3787000
2014-05-30,295,295,284,293,27000,7858000
2014-05-29,273,300,265,288,60000,16973000
2014-05-28,247,250,247,249,4000,993000
2014-05-27,250,250,246,250,4000,996000
2014-05-26,246,250,246,250,2000,496000
2014-05-23,254,254,250,250,2000,504000
2014-05-22,257,257,245,250,6000,1502000
2014-05-21,-,-,-,-,0,0
2014-05-20,-,-,-,-,0,0
2014-05-19,250,250,250,250,1000,250000
2014-05-16,258,258,249,249,6000,1531000
2014-05-15,-,-,-,-,0,0
2014-05-14,-,-,-,-,0,0
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,250,250,250,250,2000,500000
2014-05-08,250,250,250,250,1000,250000
2014-05-07,250,250,250,250,3000,750000
2014-05-02,-,-,-,-,0,0
2014-05-01,251,251,251,251,1000,251000
2014-04-30,252,252,252,252,2000,504000
2014-04-28,252,252,252,252,1000,252000
2014-04-25,250,254,250,254,10000,2504000
2014-04-24,-,-,-,-,0,0
2014-04-23,256,256,256,256,1000,256000
2014-04-22,259,259,251,251,9000,2267000
2014-04-21,-,-,-,-,0,0
2014-04-18,-,-,-,-,0,0
2014-04-17,259,259,259,259,1000,259000
2014-04-16,252,252,252,252,2000,504000
2014-04-15,250,260,250,260,7000,1765000
2014-04-14,-,-,-,-,0,0
2014-04-11,-,-,-,-,0,0
2014-04-10,-,-,-,-,0,0
2014-04-09,256,256,256,256,3000,768000
2014-04-08,262,262,256,256,5000,1294000
2014-04-07,-,-,-,-,0,0
2014-04-04,255,258,255,257,5000,1282000
2014-04-03,253,254,253,254,2000,507000
